sample_id,national_id,English_Name,Chinese_Name,Personal_Name,Specialty,Positivity,Culture,Location,Ambiance,Pun_Creative,Relationship,Comments
1525,26836,Happy Garden Chinese Restaurant,乐园,,,1,,,1,,,
2379,30502,Star Dragon,星龙,,,,1,,,,,
1892,19634,Nine Dragons,九龙,,,,,1,,,,这个好像不是指香港的九龙欸
2717,26213,The Soup,"靓汤源
",,1,1,,,1,,,
912,17652,Hunan Chinese Amory,湖南,,,,,1,,,,
1610,30859,Giant Panda Chinese Restaurant,大熊猫,,,,1,,,,,
1116,31855,Golden Dragon Chinese Restaurant,金龙,,,1,1,,,,,
2557,2434,China Delight,大中华烩餐,,1,,,1,,,,
475,14897,Min's China City,中园,,,,,1,1,,,
345,9810,New Yan Chun Kitchen Inc,春园,,,,,,1,,,
2243,25567,Sizzling Pot King,"香锅大王
",,1,1,,,,,,
1177,13331,Dragon Villa,龙楼酒家,,,,1,,1,,,
1149,9842,Wah Sang,华盛,,,1,,1,,,,
3620,30382,New China Chinese Cuisine,新中国,,,,,1,,,,
3767,22632,Yi Mei,义美,,,1,,,,,,
821,17737,China Fun,中国,,,,,1,,,,
2262,8888,Golden Dragon,金龙,,,1,1,,,,,
1202,17927,Trey Yuen Cuisine Of China,翠苑,,,1,,,1,,,
2085,27870,Imperial Garden Restaurant,龙居,,,,1,,1,,,
571,24522,Kowloon Kitchen,九龙,,,,,1,,,,
273,17517,Dragon City,龙城,,,,1,,1,,,
2120,11744,Dim Sum Chinese Fast Food,点心,,1,,,,,,,
3300,25473,Chef Zhao Bistro,老赵川菜,1,,,,1,,,,
8,27260,Taiwan Popcorn Chicken,台湾盐酥鸡,,1,,,1,,,,
876,24503,China Garden Restaurant,嘉裕,,,1,,,,,,可能是人名
2696,21469,No 1 Chinese BBQ,第一家,,,1,,,,,,
2963,9920,New Lake Pavilion,"新东云阁
",,,,,1,1,,,
2893,21389,Jai Yun,佳园餐厅,,,1,,,1,,,
381,31293,Shang Noodle & Chinese La Grange,尚面,,1,,,,,1,,
2679,5430,Shuen Lee,"华丰
",,,1,,1,,,,
1983,21527,Heng Fat,兴发,,,1,,,,,,
51,24456,Fire Wok Express,大快活,,,1,,,,,,
19,30817,Great Wall Restaurant,长城,,,,1,,,,,
1951,21313,Shanghai | Chinese Restaurant,上海小馆,,,,,1,1,,,
3061,29103,Golden Harbor Grill,金色港湾,,,1,,,1,,,
324,3896,Amore Eats,阿莫1店,1,,,,,,,,英文中文完美对照
125,5263,China Max,极品,,,1,,,,,,
3458,19721,Wong's Express,旺市,,,1,,,,,,
1684,8971,Tung Tin Chinese Restaurant,洞庭,,,,,,1,,,
3652,29672,China House,开城,,,,,,1,,,
3099,33089,China Chinese Restaurant,华城,,,,,1,1,,,
859,25763,Quality Taste Pot,品味,,,,,,,,,
3278,30549,Xin Xin,新兴,,,1,,,,,,
2139,13302,Sister's Chinese Restaurant,凤冈,,,,1,,1,,,
3315,17989,Golden Phoenix,金凤,,,1,1,,,,,
1278,5539,Taste of China,美味宫,,,1,,,1,,,
2299,17736,China Garden,华园,,,,,1,1,,,
3483,5246,Man Yee,万宜,,,1,,,,,,
882,26357,Cachanilla Chinese Restaurant,华庭海鲜馆,,1,,,1,1,,,
3494,29882,Bamboo Village Chinese Cafe,竹村,,,,1,,1,,,
321,141,Imperial Wok,金城,,,1,,,1,,,
3468,18592,"Great Wall Buffet(Dine in or order by menus,and to go)",长城,,,,1,,,,,
1500,675,Empire,之味馆,,,,,,1,,,
979,7164,Formosa,川味,,,,,1,,,,
226,1111,Li's Garden Chinese Restaurant,恒久,,,1,,,,,,
3556,3724,China Garden Restaurant,龙园,,,,1,,1,,,
2030,13253,Golden China Restaurant,金华,,,1,,1,,,,
3168,1715,C C Chinese Cooking,金城,,,1,,,1,,,
3960,3249,Canton Cooks,美食轩,,1,,,,1,,,
3683,18126,Yellow River Restaurant,何处觅小馆,,,,,,1,1,,not sure if this counts as creative
1917,15749,Dragon Wall Restaurant,"
龙城",,,,1,,1,,,
3810,30804,King's Wok Chinese Restaurant,天厨,,,,,,1,,,
24,21142,888 Bistro,大四川,,,,,1,,,,
2691,14161,Guangdong Taste,粤港澳,,,,,1,,,,
2552,11093,Rong Cheng House,朵颐食府,,,,,,1,1,,
76,13728,China Dragon,兴龙,,,1,1,,,,,
3830,679,EVER GREEN,长青,,,1,,,,,,
3503,12580,Panda Chinese Restaurant,辉煌,,,1,,,,,,
2690,13694,Yummy Cuisine,美味,,,1,,,,,,
62,10661,New Century,新世纪,,,,,,,,,
171,3,Shanghai Gourmet,溢香邨,,,1,,,1,,,
3626,30807,Imperial Garden | Chinese Restaurant,福临门,,,1,,,,,,
2567,10078,AweSum DimSum,一盅两件,,,,,,,1,,
2959,25531,V Garden,"顺利得饮食世界
",,,1,,,1,,,
4002,31781,888 Bistro,川味,,,,,1,,,,
2809,32343,China King,中原,,,,,1,,,,
2598,10032,New York Canton Lounge,味悦轩,,,1,,,1,,,
3447,18093,Hong Kong Chinese Restaurant,香港,,,,,1,,,,
3360,2367,Chinese Kitchen,食,,,,,,,,,
3509,19456,New Mosa Asian Bistro .XiongFa Mosa LLC,亚,,,,,1,,,,
320,6639,Chan's Tea House,翠华,,,1,,1,,,,
765,21514,Cheung Sheng Chinese Restaurant,长胜,,,1,,,,,,
554,30714,Panda Garden Buffet,熊猫园,,,,1,,1,,,
239,3417,Happy Garden,囍囍,,,1,,,,,,
2756,30896,King Buffet,皇厨,,,1,,,1,,,
1486,22929,Tea Leaf 2,秘苑,,,,,,1,,,
3267,33074,Grand Wok," 厚福
",,,1,,,,,,
654,13375,Best Eastern Restaurant,华东,,,,,1,,,,
2006,32808,Joy Garden,聚城,,,1,,,1,,,
2533,638,China King,嘉辉,,,1,,,,,,
2322,7272,88 No.1 Chinese Kitchen,寿,,,1,,,,,,
1490,7857,Wah Sing II Chinese Restaurant,华星,,,,,1,,,,
1549,11493,Feng's Garden,聚丰园,,,1,,,1,,,
2750,23714,Hong Kong Express,香港,,,,,1,,,,
1273,10065,Dunhuang,敦皇,,,,1,,,,,
3109,17495,Egg Roll House,春卷楼,,1,,,,1,,,
3279,8634,Lin's Garden,林园,1,,,,,1,,,
3142,18533,China Express,鸿发,,,1,,,,,,
2468,7495,China Star,中国城,,,,,1,1,,,
576,9331,China Gourmet,华厨,,,,,1,1,,,
2719,7078,Great Taste Chinese & American Food,好味,,,1,,,,,,
627,5458,Peking Garden Chinese Restaurant,北京园,,,,,1,1,,,
2223,9686,Famous Sichuan,川外川,,,,,1,,1,,
205,22982,Panda House,熊猫,,,,1,,,,,
2205,9903,Panda Asian Cuisine,熊猫,,,,1,,,,,
2242,31884,SZECHUAN TASTE CHAMPAIGN LLC,"功夫食坊
",,,,1,,1,,,
2779,15264,China Kitchen,好味,,,1,,,,,,
2905,7070,China Taste,"
中国味",,,,,1,,,,
2984,9896,Golden Express Chinese Kitchen,金隆,,,1,,,,,,
2603,24750,Ming's Chinese Restaurant,明园,,,1,,,1,,,
2098,25940,Four Seasons Gourmet Chinese Restaurant,四季美食,,,1,,,,,,
1452,31002,Ho Ho Chinese Kitchen,好好,,,1,,,,,,
3618,32062,New China Pearl,中国珍珠,,,1,,1,,,,
258,7343,LI LAI chinese restaurant,利来,,,1,,,,,,
3124,28452,Lucky China,鸿运,,,1,,,,,,
3040,23430,Chopsticks House,屋,,,,,,1,,,
3834,21662,Chef King,相聚欢,,,1,,,,,,
3804,6699,Jade Garden,翠园,,,1,,,1,,,
3156,11376,Hing Hung Kitchen,兴鸿,,,1,,,,,,
84,27277,Little Sichuan Restaurant,福恩园,,,1,,,,,,
2218,14563,Hunan Kitchen,湘湖饭店,,,,,1,,,,
232,6227,Bamboo Gardens,竹园,,,,1,,1,,,
851,24969,Kunia Chinese Restaurant,冠利酒家,,,1,,,1,,,
228,23754,Kuang's Kitchen,邝氏,1,,,,,,,,
15,3741,Golden Bowl,怡景,,,1,,,,,,
1440,18789,Asian Express,辉煌,,,1,,,,,,
3471,11453,Spiceville,香村一品,,,1,,,,,,
1766,8513,Liu's Kitchen,刘家园,1,,,,,1,,,
1433,14983,Food Express Chinese Restaurant,先为食,,,,,,,1,,
2804,3402,Lotus Blossom,荷花,,,,1,,,,,
3335,15267,New Hong Kong Restaurant,新香港,,,,,1,,,,
739,29386,Lotus Palace Restaurant,莲花阁,,,,1,,1,,,
645,15271,Happy Chinese Restaurant,康乐园,,,1,,,1,,,
3833,22817,Best Taste Chinese and Sushi Restaurant,美味居,,,1,,,1,,,
3520,18608,Panda Cuisine,蓉园,,,,1,,1,,,
2938,3777,HOT POT CITY,"山城火锅
",,1,,,1,,,,
1770,22917,Northern China Restaurant,红宝石,,,1,,,,,,
971,22691,Shanghai Yau Fat Restaurant,有发上海饭店,,,1,,1,,,,
2666,26588,Old Pier Hong Kong BBQ,"老码头自助火锅
",,1,,,,1,,,
1777,6155,New China King Asian Bistro,皇帝,,,1,,,,,,
2497,4313,Beijing House Restaurant,"
北京楼",,,,,1,1,,,
1899,32918,Hong Kong Chinese Restaurant,香港,,,,,1,,,,
3677,19244,Tangs Express 88,唐,,,,1,,,,,
2895,25998,OK Noodle,西北拉面,,1,,,1,,,,
3390,577,China Dragon,国龙,,,,1,,,,,
699,8743,Great Wall Restaurant,长城,,,,1,,,,,
691,23859,Chef Wu's,欢喜楼,,,1,,,1,,,
2148,11003,China Garden,中国园,,,,,1,1,,,
327,2810,Three Color Asian Kitchen,腾飞阁,,,1,,,1,,,
3803,29427,Chopstick Inn,筷子楼,,,,1,,1,,,筷子应该也算文化
1152,4828,Lucky Corner,旺角,,,,,1,,,,好像不是香港旺角？
1883,11687,Chengs Oriental Express,"
邓家源南北风味",1,,,,1,,,,
1226,13606,Empire Restaurant,帝国,,,1,,,,,,
3942,12473,Great China,中华,,,,,1,,,,
119,636,New Crownery Chinese Restaurant | Party Room/Catering,帝国,,,1,,,,,,
3454,20168,Yummy Street,敦煌食街,,,,,1,1,,,
372,25872,Fortune Garden Chinese Restaurant,福满楼,,,1,,,1,,,
2851,27367,Lucky Wok,华园,,,,,1,1,,,
3054,30831,Shanghai Garden Chinese Restaurant,上海园,,,,,1,1,,,
2277,8205,China King Restaurant,闽阁,,,,,1,1,,,
3973,22488,Nice Day Chinese Seafood Restaurant,喜洋洋海鲜酒楼,,1,1,,,1,,,
3718,11887,Sunny Wok,升辉,,,1,,,,,,
396,22724,WangJia Restaurant,王家,1,,,,,,,,
960,28474,Uncle Chen's Hot Wok,川王,,,1,,1,,,,
3039,26449,Triple 8 China Bar & Grill,发,,,1,,,,,,
1614,10324,Wild Ginger,山姜,,,,,,,,,
2736,13433,Great Taste Chinese Restaurant,味中味,,,,,,,1,,
531,32702,Koi,大渔,,1,,,,,,,
2426,30883,Hong Kong,香港酒家,,,,,1,1,,,
3763,26977,Z-One Kitchen,岐山肉夹馍,,1,,,1,,,,
1268,221,King Wah Chinese Restaurant,琼华,,,1,,1,,,,
2622,16291,Fong's Cafe,邝氏,1,,,,,,,,
2653,6998,Hing Wong,"
兴旺",,,1,,,,,,
2317,13418,Bamboo Garden Chinese Restaurant,竹园,,,,1,,1,,,
229,32001,China Bowl,中华楼,,,,,1,1,,,
756,29634,Dengs Garden,邓家园,1,,,,,1,,,
2424,4683,Food Wall Chinese Restaurant,福城,,,1,,,1,,,
2333,31785,Asian Bistro,雅轩,,,1,,,1,,,
525,5232,Golden Koi,金锦鲤,,,1,1,,,,,
717,14918,Shang Artisan Noodle,上面,,1,,,,,1,,
3540,5688,Sang Kee Peking Duck House,生记烧腊,1,1,,,,,,,
3090,28484,China House,旺村轩,,,1,,,1,,,
2701,12223,El Pabellon De Oro,金阁,,,1,,,1,,,
2020,21739,Candlelight Restaurant and Lounge,烛光,,,,,,,,,
2003,28788,China 1,天香楼,,,1,,,1,,,
3721,24450,Bamboo Panda,圆明园,,,,1,,,,,
3528,18165,Royal China Restaurant,中国楼,,,,,1,1,,,
3610,8826,ShangShi,尚食,,,,,,,,,
3608,7041,AH Topper Chinese & American Food,阿滔,1,,,,,,,,
547,16259,Hunan Chinese Restaurant,湖南,,,,,1,,,,
409,17884,Xing Wang,兴旺,,,1,,,,,,
930,297,China Gourmet,大三元,,,,1,,,,,？
1054,20430,DFW China Town,达福中国城,,,1,,1,1,,,
922,7368,WIN WAH,云华楼,,,,,1,1,,,
1666,14262,Tops China Restaurant,第一,,,1,,,,,,
3867,17926,Young's Fortune Restaurant,杨家福,1,,1,,,,,,
524,30259,CHEF CHU'S,喜福局,,,1,,,1,,,
2417,32013,Twin Dragons,龙,,,,1,,,,,
2829,15353,Hong Kong,香港,,,,,1,,,,
1564,21024,HK Dim Sum,香港点心城,,1,,,1,1,,,
2348,27373,Joy Food One,珍味园,,,1,,,1,,,
1697,14276,Tray Ting House,"翠庭楼
",,,1,,,1,,,
1247,5725,China Fortune,财进楼,,,1,,,1,,,
889,31346,Great Wall of China,长城,,,,1,,,,,
2320,32899,China,华城,,,,,1,1,,,
2763,19003,China Buffet,中国,,,,,1,,,,
1640,14173,Eastern Restaurant,东都,,,,,1,1,,,
