sample_id,national_id,name,location_link,site,us_state,type,subtypes,area,rating,has_name,CH_name,source
36,24305,Quickly,"https://www.google.com/maps/place/Quickly/@37.3325564,-120.46121679999999,14z/data=!4m8!1m2!2m1!1sQuickly!3m4!1s0x809143c05a07672d:0x8a02d14de77d3049!8m2!3d37.3325564!4d-120.46121679999999",http://quicklymerced.uorder.io/,California,Chinese restaurant,"Chinese restaurant, Asian restaurant, Cafe, Tea house",2,4.4,1,快可立,"https://www.google.com/maps/place/Quickly/@37.332935,-120.4606197,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipMqe9RHMs1W8owOaNhLdm7QpB9N9_OukzUtoryC!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMqe9RHMs1W8owOaNhLdm7QpB9N9_OukzUtoryC%3Dw86-h114-k-no!7i3000!8i4000!4m10!1m2!2m1!1sQuickly!3m6!1s0x809143c05a07672d:0x8a02d14de77d3049!8m2!3d37.3325564!4d-120.4612168!10e5!16s%2Fg%2F11c6dkbyll?entry=ttu"
40,1130,TELY'S Chinese Restaurant,"https://www.google.com/maps/place/TELY%27S+Chinese+Restaurant/@28.2170363,-80.6757353,14z/data=!4m8!1m2!2m1!1sTELY%27S+Chinese+Restaurant!3m4!1s0x88de04ff9f67eb63:0x5d664d08e323aa62!8m2!3d28.2170363!4d-80.6757353",http://telychineserestaurant.com/,Florida,Chinese restaurant,"Chinese restaurant, Asian restaurant, Seafood restaurant",2,4.5,1,中菜泰利,"https://www.google.com/maps/@28.217316,-80.6756745,3a,75y,267.9h,92.88t/data=!3m6!1e1!3m4!1sMyLUp_UqybIziy1KWQFKcw!2e0!7i16384!8i8192?entry=ttu"
41,12118,Liu Sichuan Noodle House,"https://www.google.com/maps/place/Liu+Sichuan+Noodle+House/@40.781256,-73.845674,14z/data=!4m8!1m2!2m1!1sLiu+Sichuan+Noodle+House!3m4!1s0x89c2f58172da7f43:0x98f24e02a43d878b!8m2!3d40.781256!4d-73.845674",https://liujiszechuannoodlehouse.aiyaorder.us/,New York,Chinese noodle restaurant,"Chinese noodle restaurant, Chinese restaurant, Noodle shop",2,5.0,1,刘记四川面馆,"https://www.google.com/maps/place/Liu+Sichuan+Noodle+House/@40.7812652,-73.8459628,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipNtUkrERtXzyGRV5ylbPjIdJ5KI1YYYxxLXjEdw!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNtUkrERtXzyGRV5ylbPjIdJ5KI1YYYxxLXjEdw%3Dw114-h86-k-no!7i1920!8i1440!4m15!1m7!3m6!1s0x89c2f58172da7f43:0x98f24e02a43d878b!2sLiu+Sichuan+Noodle+House!8m2!3d40.781256!4d-73.845674!16s%2Fg%2F11pdy5x3z_!3m6!1s0x89c2f58172da7f43:0x98f24e02a43d878b!8m2!3d40.781256!4d-73.845674!10e5!16s%2Fg%2F11pdy5x3z_?entry=ttu"
42,22978,Momo Bistro,"https://www.google.com/maps/place/Momo+Bistro/@34.131453,-118.019618,14z/data=!4m8!1m2!2m1!1sMomo+Bistro!3m4!1s0x80c2dbd62cc270b3:0x89d248a748d372bb!8m2!3d34.131453!4d-118.019618",,California,Taiwanese restaurant,"Taiwanese restaurant, Takeout Restaurant",2,4.1,1,总舖师正宗台菜,"https://www.google.com/maps/place/Momo+Bistro/@34.131444,-118.0193363,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipOezSg4nU0Y3VxQ84FHwNCtBs4D4HZ15m7nDwKA!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOezSg4nU0Y3VxQ84FHwNCtBs4D4HZ15m7nDwKA%3Dw152-h86-k-no!7i5312!8i2988!4m15!1m7!3m6!1s0x80c2dbd62cc270b3:0x89d248a748d372bb!2sMomo+Bistro!8m2!3d34.131453!4d-118.019618!16s%2Fg%2F11b8twrp25!3m6!1s0x80c2dbd62cc270b3:0x89d248a748d372bb!8m2!3d34.131453!4d-118.019618!10e5!16s%2Fg%2F11b8twrp25?entry=ttu"
46,25264,Ming's Palace Restaurant,"https://www.google.com/maps/place/Ming%27s+Palace+Restaurant/@36.9881619,-121.9567622,14z/data=!4m8!1m2!2m1!1sMing%27s+Palace+Restaurant!3m4!1s0x808e157cef197f21:0x1ffc4a85334c49d5!8m2!3d36.9881619!4d-121.9567622",,California,Chinese restaurant,Chinese restaurant,2,4.3,1,明苑,"https://www.google.com/maps/place/Ming's+Palace+Restaurant/@36.9882816,-121.9568126,3a,75y,146.8h,91.54t/data=!3m7!1e1!3m5!1sXOi74fACCOY8e3BF5wQ9Aw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DXOi74fACCOY8e3BF5wQ9Aw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D10.35086%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m14!1m7!3m6!1s0x808e157cef197f21:0x1ffc4a85334c49d5!2sMing's+Palace+Restaurant!8m2!3d36.9881619!4d-121.9567622!16s%2Fg%2F1tfccdnt!3m5!1s0x808e157cef197f21:0x1ffc4a85334c49d5!8m2!3d36.9881619!4d-121.9567622!16s%2Fg%2F1tfccdnt?entry=ttu"
47,18609,Dragon City,"https://www.google.com/maps/place/Dragon+City/@38.0319473,-84.5200473,14z/data=!4m8!1m2!2m1!1sDragon+City!3m4!1s0x88424597a6e60a5f:0x2f800691418ad804!8m2!3d38.0319473!4d-84.5200473",http://www.dragoncitylex.com/,Kentucky,Chinese restaurant,Chinese restaurant,2,4.1,1,龙城,"https://www.google.com/maps/place/Dragon+City/@38.0318602,-84.5201786,3a,77.3y/data=!3m8!1e2!3m6!1sAF1QipPWW1XS57_j1DoYOD2wweJvjNktUuUNwWzdIVg6!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPWW1XS57_j1DoYOD2wweJvjNktUuUNwWzdIVg6%3Dw114-h86-k-no!7i1000!8i750!4m15!1m7!3m6!1s0x88424597a6e60a5f:0x2f800691418ad804!2sDragon+City!8m2!3d38.0319473!4d-84.5200473!16s%2Fg%2F11rn0zfwwm!3m6!1s0x88424597a6e60a5f:0x2f800691418ad804!8m2!3d38.0319473!4d-84.5200473!10e5!16s%2Fg%2F11rn0zfwwm?entry=ttu"
48,9890,Sang Sang Kitchen,"https://www.google.com/maps/place/Sang+Sang+Kitchen/@40.7162078,-73.4999747,14z/data=!4m8!1m2!2m1!1sSang+Sang+Kitchen!3m4!1s0x89c27fdaa25b07cd:0x4b65775da58ff082!8m2!3d40.7162078!4d-73.4999747",,New York,Chinese restaurant,"Chinese restaurant, Delivery Restaurant",2,3.9,1,生生,"https://www.google.com/maps/@40.7162673,-73.5000636,3a,16.6y,130.4h,93.32t/data=!3m6!1e1!3m4!1sYzbvwWOhPzct5Jf7DocZ2g!2e0!7i16384!8i8192?entry=ttu"
51,24456,Fire Wok Express,"https://www.google.com/maps/place/Fire+Wok+Express/@64.7565169,-147.35412599999998,14z/data=!4m8!1m2!2m1!1sFire+Wok+Express!3m4!1s0x51324d44c4e525cd:0x4e7c23bb37dba901!8m2!3d64.7565169!4d-147.35412599999998",http://www.firewoknorthpole.com/,Alaska,Chinese restaurant,"Chinese restaurant, Asian restaurant, Restaurant",2,3.7,1,大快活,"https://www.google.com/maps/place/Fire+Wok+Express/@64.7566709,-147.3543271,33a,38.1y/data=!3m8!1e2!3m6!1sAF1QipO2CBGFVbLNb7zg5RRVNfyYvaFROE7G2z2X4k_n!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipO2CBGFVbLNb7zg5RRVNfyYvaFROE7G2z2X4k_n%3Dw152-h86-k-no!7i5312!8i2988!4m15!1m7!3m6!1s0x51324d44c4e525cd:0x4e7c23bb37dba901!2sFire+Wok+Express!8m2!3d64.7565169!4d-147.354126!16s%2Fg%2F1ttdy2bd!3m6!1s0x51324d44c4e525cd:0x4e7c23bb37dba901!8m2!3d64.7565169!4d-147.354126!10e5!16s%2Fg%2F1ttdy2bd?entry=ttu"
53,23504,Fortune Gourmet Kitchen,"https://www.google.com/maps/place/Fortune+Gourmet+Kitchen/@34.061512799999996,-118.23991559999999,14z/data=!4m8!1m2!2m1!1sFortune+Gourmet+Kitchen!3m4!1s0x80c2c65a5fdf6007:0x795e6e29fa69f11e!8m2!3d34.061512799999996!4d-118.23991559999999",https://www.facebook.com/Fortune-Gourmet-Kitchen-464620616912092/,California,Chinese restaurant,Chinese restaurant,2,4.3,1,幸福楼酒家,"https://www.google.com/maps/place/Fortune+Gourmet+Kitchen/@34.0615128,-118.2400173,6a,54.2y/data=!3m8!1e2!3m6!1sAF1QipN1DdWZ20CmSgDbb9RIb7KRK9aDMMu11zRWvF-z!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipN1DdWZ20CmSgDbb9RIb7KRK9aDMMu11zRWvF-z%3Dw114-h86-k-no!7i4032!8i3024!4m15!1m7!3m6!1s0x80c2c65a5fdf6007:0x795e6e29fa69f11e!2sFortune+Gourmet+Kitchen!8m2!3d34.0615128!4d-118.2399156!16s%2Fg%2F11bbrhmlzy!3m6!1s0x80c2c65a5fdf6007:0x795e6e29fa69f11e!8m2!3d34.0615128!4d-118.2399156!10e5!16s%2Fg%2F11bbrhmlzy?entry=ttu"
61,15104,Zheng Zhong Chinese Restaurant,"https://www.google.com/maps/place/Zheng+Zhong+Chinese+Restaurant/@42.7242131,-110.933821,14z/data=!4m8!1m2!2m1!1sZheng+Zhong+Chinese+Restaurant!3m4!1s0x875672e9855c2f7d:0x18107127c0d4a4f6!8m2!3d42.7242131!4d-110.933821",https://zhengzhongchinesewy.com/,Wyoming,Chinese restaurant,"Chinese restaurant, Asian restaurant, Thai restaurant",0,4.0,1,郑钟,"https://www.google.com/maps/@41.2762367,-110.3355707,3a,26.6y,10.03h,91.57t/data=!3m7!1e1!3m5!1sbJHGo41wduvE_1EOeOMO9w!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DbJHGo41wduvE_1EOeOMO9w%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D13.858486%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656?entry=ttu"
62,10661,New Century,"https://www.google.com/maps/place/New+Century/@42.1152514,-75.95570479999999,14z/data=!4m8!1m2!2m1!1sNew+Century!3m4!1s0x89daee57cf5edbdd:0xc6a7766f34fe4eb2!8m2!3d42.1152514!4d-75.95570479999999",http://www.newcenturyjohnsoncity.com/,New York,Chinese restaurant,"Chinese restaurant, Chinese takeaway, Delivery Chinese restaurant",2,3.7,1,新世纪,"https://www.google.com/maps/place/New+Century/@42.2192797,-73.8656679,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipPxGXOtI_PuG39vUiJdNys5oD1-tslz-BByRgs7!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPxGXOtI_PuG39vUiJdNys5oD1-tslz-BByRgs7%3Dw129-h86-k-no!7i5184!8i3456!4m11!1m2!2m1!1sNew+Century,+new+york!3m7!1s0x89ddbd0ab5e4edf9:0x308d26d429d20f08!8m2!3d42.2192797!4d-73.8656679!10e5!15sChVOZXcgQ2VudHVyeSwgbmV3IHlvcmtaFiIUbmV3IGNlbnR1cnkgbmV3IHlvcmuSARJjaGluZXNlX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F1262n8dl3?entry=ttu"
63,23062,The Rice House,"https://www.google.com/maps/place/The+Rice+House/@37.4193575,-121.91570399999999,14z/data=!4m8!1m2!2m1!1sThe+Rice+House!3m4!1s0x808fc927c691deeb:0x47232bfca0a16221!8m2!3d37.4193575!4d-121.91570399999999",http://www.thericehouseca.com/,California,Chinese restaurant,"Chinese restaurant, Restaurant, Rice restaurant",2,3.5,1,三禾煲仔饭,"https://www.google.com/maps/place/The+Rice+House/@37.419159,-121.9161475,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipNM4lsQXSuOi3P78voLB4fh6WuWlHjWh9ErZBPU!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNM4lsQXSuOi3P78voLB4fh6WuWlHjWh9ErZBPU%3Dw114-h86-k-no!7i8256!8i6200!4m11!3m10!1s0x808fc927c691deeb:0x47232bfca0a16221!5m3!1s2023-08-21!4m1!1i2!8m2!3d37.4193575!4d-121.915704!10e5!16s%2Fg%2F11fpmjtf4p?entry=ttu"
65,20864,New China,"https://www.google.com/maps/place/New+China/@37.054793599999996,-88.56805949999999,14z/data=!4m8!1m2!2m1!1sNew+China!3m4!1s0x887a1169c34f4231:0x625c30da71e33194!8m2!3d37.054793599999996!4d-88.56805949999999",https://newchinabuffetkytogo.com/,Kentucky,Chinese restaurant,"Chinese restaurant, Restaurant",1,3.6,1,中国,"https://www.google.com/maps/@42.9430337,-78.8684134,3a,19.2y,311.63h,95.39t/data=!3m7!1e1!3m5!1sdyZfyyM0e-rnWrRRe0KMjw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DdyZfyyM0e-rnWrRRe0KMjw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D240.79164%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192?entry=ttu"
68,24667,Chef's Wok,"https://www.google.com/maps/place/Chef%27s+Wok/@37.777816699999995,-122.276775,14z/data=!4m8!1m2!2m1!1sChef%27s+Wok!3m4!1s0x808f80d801172a0d:0x4d02a509bd208302!8m2!3d37.777816699999995!4d-122.276775",http://www.alamedachefswok.com/%3Futm_source%3Dgmb%26utm_medium%3Dwebsite,California,Chinese restaurant,"Chinese restaurant, Asian restaurant",2,4.0,1,半岛海鲜酒家,"https://www.google.com/maps/@37.7778287,-122.2766848,3a,15y,318.21h,93.48t/data=!3m7!1e1!3m5!1s6BObW5wfQF-o4FIdcbdBhQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D6BObW5wfQF-o4FIdcbdBhQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D1.5882167%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192?entry=ttu"
70,13997,Hong Kong,"https://www.google.com/maps/place/Hong+Kong/@38.0015194,-78.4964257,14z/data=!4m8!1m2!2m1!1sHong+Kong!3m4!1s0x89b3858382e28e29:0xf43745e9196c8db7!8m2!3d38.0015194!4d-78.4964257",http://www.hongkongcharlottesville.com/?utm_source=gmb,Virginia,Chinese takeaway,Chinese takeaway,2,4.3,1,香港餐馆,"https://www.google.com/maps/@33.878135,-117.591489,3a,72.9y,163.16h,87.18t/data=!3m7!1e1!3m5!1s0kzNF0luLmTLGJZ7MJx4HA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D0kzNF0luLmTLGJZ7MJx4HA%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D168.90852%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192?entry=ttu"
