English_Name,Chinese_Name,nanxi_translation,rukun_translation,Dish Type,Creative Translation (1 = yes),Rating,Category_EN_1,Category_EN_2,Category_EN_3,Category_CH_1,Category_CH_2,Category_CH_3,Translation(Literal = 1),Address,Area,Website,Order Website
Liaoxiang Rice Noodle,撩香米线,Tempting Fragrant Rice Noodle,Sweet-smelling Rice Noodles,Yunnan,0,4.9,Specialty,Romanized,,Specialty,Positivity,,0,"7 Knapp St, Boston, MA 02111",0,,
Cilantro Chinese Cuisine,御堂春,Royal Hall Spring,Royal Palace Spring,Fusion,0,3.9,Origin,,,Positivity,Ambiance,Pun_Creative,0,"1105 Massachusetts Ave, Cambridge, MA 02138",0,http://www.cilantrochinesecuisine.com/?utm_source=gmb&utm_medium=website,
Changsho,常熟,Always Familiar,Changshu,Fusion,0,4.1,Romanized,,,Positivity,,,0,"1712 Massachusetts Ave, Cambridge, MA 02138",0,http://changshorestaurant.com/,
Taiwan Cafe ,海之味,Taste of the Sea,Sea Flavor,Taiwan,0,3.8,Location,,,Specialty,,,0,"34 Oxford St, Boston, MA",0,https://ordertaiwancafe.com/,
Beijing Cafe,京味,Beijing Taste,Beijing Flavor,Beijing,0,3.4,Location,Ambiance,,Location,,,0,"728 Commonwealth Ave, Boston, MA 02215",0,https://www.beijingcafeusa.com/,
District Kitchen,饺子馆,Dumpling Pavillion,Dumpling Restaurant,Fusion,0,4.3,Ambiance,,,Specialty,Ambiance,,0,"2 Florence St, Malden, MA 02148",0,https://www.district-kitchen.com/,
Food Wall Chinese Restaurant,福城,Luck City,Good Fortune City,Fusion,0,3.7,Origin,,,Positivity,,,0,"387 Centre St, Jamaica Plain, MA 02130",0,http://www.foodwallchinese.com/?utm_source=gmb&utm_medium=website,
Friendship BBQ Boston,友情客串,Friendship Cameo,Friendly Guest Barbecue,Barbecue,0,3.9,Specialty,Location,Positivity,Pun_Creative,Specialty,,0,"42 Beach St, Boston, MA 02111",0,http://friendshipbbqboston.com/,
MDM Noodles,面对面,Face to Noodles,Face To Face,Fusion,0,4.4,Specialty,,,Pun_Creative,Specialty,,0,"351 Washington St, Brighton, MA 02135",0,http://www.mdmnoodles.com/?utm_source=gmb&utm_medium=website,
Wai Wai,威威,Wei Wei,Weiwei,Cantonese,0,3.9,Names,,,Names,,,0,"26 Oxford St, Boston, MA 02111",0,,
Panda Garden,熊家园,Bear Garden,Bear House,Fusion,0,3.6,Culture,Ambiance,,Ambiance,,,0,"95 Main St, Lee, MA 01238",1,,
Canton House,广东楼,Canton House,Guangdong Building,Cantonese,0,3.7,Location,Ambiance,,Location,Ambiance,,1,"6 Hancock St, Boston, MA 02125",0,http://www.cantonhousema.com/,
Peach Farm,小桃园,Little Peach Garden,Small Peach Garden,Fusion,0,3.9,Ambiance,,,Ambiance,,,1,"4 Tyler St, Boston, MA 02111",0,https://peachfarmseafood.com/,
China Gourmet Restaurant,味中味,Taste in Taste,Taste In Taste,Fusion,0,4.0,Origin,,,Positivity,,,0,"23 tyler st #1905, Boston, MA",0,https://www.chinagourmetboston.com/,
Hong Kong Harbor,海港楼,Harbor House,Harbor Building,Cantonese,0,4.0,Location,Ambiance,,Ambiance,,,0,"5 Maverick Square, East Boston, MA 02128",0,https://www.hongkongharborboston.com/,
Lucky Cafe,陆记明炉烧腊,Lu's Open Oven Roasted Meat,Lu Ji Furnace Roasted Pork,Cantonese,0,4.2,Positivity,Ambiance,,Names,Specialty,,0,"1107 Dorchester Ave, Boston, MA 02125",0,,
Asian Paradise,亚洲城,Asia City,Asia City,Fusion,0,4.5,Origin,Ambiance,,Origin,Ambiance,,0,"1587 Main St, West Chatham, MA 02669",1,http://www.asianparadiseonline.com/,
Tasty Pot,味鼎,Taste Tripod,Flavor Royal Pot,hotpot,0,4.2,Positivity,,,Positivity,,,1,"194 Harvard Ave, Boston, MA",0,http://www.tastypotboston.com/,
Supreme BBQ,尚品烤吧,Fashion Taste BBQ bar,Top Taste Barbecue,Barbecue,0,4.2,Positivity,Specialty,,Specialty,Positivity,,0,"247 Eastern Ave, Malden, MA 02148",0,https://qmenu.us/#/supreme-bbq-malden,
Royal East,五月花,May flower,The May Flower,Fusion,0,3.9,Positivity,Origin,,Other,,,0,"782 Main St, Cambridge, MA 02139",0,https://royaleastcambridge.com/,
Ding Ho,顶好快餐,Top Good Fast Food,Top Fast Food,Fusion,0,4.7,Romanized,,,Specialty,Positivity,,0,"88 Harrison Ave, Boston, MA 02111",0,,
Xi’An Rougamo,姑娘手西安小吃,Girl Hand Xi'an Street Food,Girls' Handmade Xi'an Snacks,Xian,0,3.5,Location,Specialty,,Location,,,0,"417 Washington St, Boston, MA 02110",0,https://www.toasttab.com/xian-rougamo-boston-417-washington-street,
Young Kong,邕江,Yong River,Yong River,Cantonese,0,3.6,Romanized,,,Location,,,0,"300 Centre St, Jamaica Plain, MA 02130",0,https://www.youngkongma.com/,
Jumbo Seafood,珍宝轩,Treasure Pavillion,Good Treasure House,Cantonese,1,4.0,Specialty,,,Positivity,Ambiance,,0,"5 Hudson St, Boston, MA 02111",0,https://www.jumboseafoodboston.net/,
New China,新中国,New China,New China,Fusion,0,4.0,Origin,,,Origin,,,1,"869 Harrison Ave, Boston, MA 02118",0,,
BOS' SiChuan Taste,一碟川菜馆,One Plate Sichuan Cuisine Restaurant,One Dish Sichuan Restaurant,Sichuan,0,4.3,Location,,,Location,Ambiance,,0,"204 Harvard Ave, Allston, MA 02134",0,http://www.bosyidie.com/,
Hong Kong Eatery,香港小食,Hong Kong Street Food,Hong Kong Snacks,Cantonese,0,4.2,Location,,,Location,,,1,"79 Harrison Ave, Boston, MA 02111",0,https://www.toasttab.com/hong-kong-eatery-79-harrison-ave,
QingDao Garden,青岛园,QingDao Garden,Qingdao Garden,Fusion,0,4.2,Location,Ambiance,,Location,Ambiance,,1,"2382 Massachusetts Ave, Cambridge, MA 02140",0,http://www.qingdaogardentogo.com/,
HaoShiGuang,好食光,Good Food Light,Good Food Light,Fusion,0,4.1,Romanized,,,Positivity,,,0,"48 Harvard Ave, Allston, MA 02134",0,http://www.haoshiguangboston.com/,
Double Dragon Inn,双龙,Double Dragon,Double Dragons,Fusion,0,4.2,Culture,Ambiance,,Culture,,,1,"59 MA-6A, Orleans, MA 02653",1,http://www.doubledragonorleans.com/,
Su Su Gourmet,素素小食,Su Su Street Food,Vegetarian Snacks,Cantonese,0,3.4,Names,,,Names,,,1,"70 Tyler St, Boston, MA 02111",0,https://www.susugourmetbostonma.com/,
Spicy Hunan Kitchen,湘私馆,Hunan Private Restaurant,Hunan Private Restaurant,Hunan,0,4.5,Location,Ambiance,Specialty,Location,Pun_Creative,Ambiance,0,"390 Main St, Woburn, MA 01801",0,https://www.spicyhunan.com/menu,
Spicy World,大舌头,Big Tongue,Big Tongue,Sichuan,0,3.0,Ambiance,Specialty,,Other,,,0,"7 Beach St, Boston, MA",0,https://www.spicyworldboston.com/,
China Garden Restaurant,顿嘉,Dun Jia,Dunjia,Fusion,0,3.7,Origin,Ambiance,,Names,,,0,"256 Highland Ave, Malden, MA 02148",0,,
The East Asian Cuisine,龙,Dragon,Dragon,Fusion,0,4.2,Origin,,,Culture,,,0,"305 Stockbridge Rd, Great Barrington, MA 01230",1,http://www.theeastasiancuisine.com/,
Jade Garden,翠苑海鲜酒楼,Emerald Garden Seafood Restaurant,Royal Green Seafood Restaurant,Fusion,0,3.9,Positivity,Ambiance,,Specialty,Positivity,,0,"20 Tyler St, Boston, MA 02111",0,,
Joyful Garden,聚福海鲜酒楼,Gather Luck Seafood Restaurant,Jufu Seafood Restaurant,Cantonese,0,4.1,Positivity,Ambiance,,Positivity,Ambiance,Specialty,0,"550 Arsenal St, Watertown, MA 02472",0,https://joyful.boston/,
Kaojiu Restaurant,烤究,Study of Roasting,Good Grilling,Barbecue,0,4.1,Romanized,,,Pun_Creative,Specialty,,0,"406 Harvard Street , Brookline, MA",0,https://www.kaojiurestaurant.com/,
Taste House,百味轩,Hundred Taste Pavillion,Hundred Taste Restaurant,Fusion,0,4.9,Ambiance,,,Positivity,Ambiance,,0,"275 Moody St, Waltham, MA",0,,https://order.mealkeyway.com/merchant/6b376f51364d44624b33745964786e6761545a6543673d3d/main
Kung Fu Dumplings,功夫饺子,Kung Fu Dumplings,Kung Fu Dumplings,Dumplings,0,4.3,Culture,Specialty,,Specialty,Culture,,1,"293 Commercial St, Provincetown, MA 02657",1,http://kung-fu-dumplings.square.site/,
