English_Name,Chinese_Name,nanxi_translation,rukun_translation,Dish Type,Creative Translation (1 = yes),Rating,Category_EN_1,Category_EN_2,Category_EN_3,Category_CH_1,Category_CH_2,Category_CH_3,Translation(Literal = 1),Address,Area,Website,Order Website
Dragon Star Chinese Restaurant,龙星,Dragon Star,Dragon Star,Fusion,0,4.2,Culture,Origin,,Positivity,Culture,,1,"700 Washington St, Brookline, MA 02446",0,http://dragonstarchineserestaurant.com/,
Hong Kong Harbor,海港楼,Harbor House,Harbor Building,Cantonese,0,4.0,Location,Ambiance,,Ambiance,,,0,"5 Maverick Square, East Boston, MA 02128",0,https://www.hongkongharborboston.com/,
QingDao Garden,青岛园,QingDao Garden,Qingdao Garden,Fusion,0,4.2,Location,Ambiance,,Location,Ambiance,,1,"2382 Massachusetts Ave, Cambridge, MA 02140",0,http://www.qingdaogardentogo.com/,
Hong Kong Cafe,香港美食,Hong Kong Cuisine,Hong Kong Cuisine,Cantonese,0,3.5,Location,Ambiance,,Location,,,0,"1391 Beacon St, Brookline, MA 02446",0,http://www.hongkongcafebrookline.com/,
Ten Second Yunnan Rice Noodles,十秒到云南米线,Ten Seconds Delivery Yunnan Rice Noodle,Ten Seconds to Yunnan Rice Noodles,Yunnan,0,4.1,Location,Specialty,,Location,Specialty,,1,"431 Cambridge St, Boston, MA 02134",0,,https://order.online/store/TenSecondNoodlesAllston-1189315/en-US/?hideModal=true&pickup=true
Spicy Hunan Kitchen,湘私馆,Hunan Private Restaurant,Hunan Private Restaurant,Hunan,0,4.5,Location,Ambiance,Specialty,Location,Pun_Creative,Ambiance,0,"390 Main St, Woburn, MA 01801",0,https://www.spicyhunan.com/menu,
Friendship BBQ Boston,友情客串,Friendship Cameo,Friendly Guest Barbecue,Barbecue,0,3.9,Specialty,Location,Positivity,Pun_Creative,Specialty,,0,"42 Beach St, Boston, MA 02111",0,http://friendshipbbqboston.com/,
Chinese Dragon,东方红,Eastern Red,Oriental Red,Fusion,0,3.5,Culture,Origin,,Positivity,Origin,,0,"380 Chelsea St, Boston, MA 02128",0,http://bostonchinesedragon.com/,
Joyful Garden,聚福海鲜酒楼,Gather Luck Seafood Restaurant,Jufu Seafood Restaurant,Cantonese,0,4.1,Positivity,Ambiance,,Positivity,Ambiance,Specialty,0,"550 Arsenal St, Watertown, MA 02472",0,https://joyful.boston/,
Great Chef Chinese Food at Day Square,渪圖,Ru Picture,Rutu,Fusion,0,4.0,Positivity,Origin,Location,Other,,,0,"390 Chelsea St, Boston, MA 02128",0,http://www.greatchefchinesefood.com/,
Wu Er by WOW Barbecue,无二烤肉,No Two BBQ,No Second Barbecue,Barbecue,0,3.9,Specialty,Romanized,,Specialty,,,0,"320 Washington St, Brookline, MA 02445",0,http://www.wowbarbecue.com/,
Our Zone,第五空间 家常川菜,Fifth Space Homemade Sichuan Cuisine,Fifth Space Homemade Sichuan Cuisine,Sichuan,0,4.7,Other,,,Location,Specialty,,0,"1583 Commonwealth Ave, Brighton, MA 02135",0,http://ourzone.online/,
Zoe’s Chinese Restaurant,风味亭,Flavor Pavillion,Flavor Pavilion,Fusion,0,4.5,Names,Origin,,Positivity,Ambiance,,0,"296 Beacon St, Somerville, MA 02143",0,http://www.zoessomerville.com/,
Rose's Chinese Restaurant,花苑,Flower Garden,Flower Garden,Fusion,0,4.0,Names,Origin,,Ambiance,,,0,"321 Boston Ave, Medford, MA 02155",0,http://www.rosesmedford.com/,
MDM Noodles,面对面,Face to Noodles,Face To Face,Fusion,0,4.4,Specialty,,,Pun_Creative,Specialty,,0,"351 Washington St, Brighton, MA 02135",0,http://www.mdmnoodles.com/?utm_source=gmb&utm_medium=website,
Dumpling Kitchen,心厨,Heart Kitchen,Heart Kitchen,Fusion,0,3.3,Specialty,Ambiance,,Positivity,Ambiance,,0,"217 Highland Ave, Somerville, MA 02143",0,https://www.dumplingkitchen.net/,
China Garden Restaurant,顿嘉,Dun Jia,Dunjia,Fusion,0,3.7,Origin,Ambiance,,Names,,,0,"256 Highland Ave, Malden, MA 02148",0,,
Chow N Joy,厨乐,Kitchen Joy,Kitchen Happiness,Fusion,1,3.8,Positivity,,,Positivity,,,0,"626 Somerville Ave, Somerville, MA 02143",0,https://www.chownjoysomervillema.com/#/,
Changsho,常熟,Always Familiar,Changshu,Fusion,0,4.1,Romanized,,,Positivity,,,0,"1712 Massachusetts Ave, Cambridge, MA 02138",0,http://changshorestaurant.com/,
China House,中国楼,China House,China Building,Fusion,0,4.0,Origin,Ambiance,,Origin,Ambiance,,1,"234 Upper Main St, Edgartown, MA 02539",1,http://www.mvchinahouse.com/,
Golden Place,锦煌,Splendor Bright,Silk Bright,Fusion,0,4.1,Positivity,Ambiance,,Positivity,,,0,"4 Barlows Landing Rd #2, Pocasset, MA 02559",1,http://goldenplacecapecod.com/index.html,
Asian Paradise,亚洲城,Asia City,Asia City,Fusion,0,4.5,Origin,Ambiance,,Origin,Ambiance,,0,"1587 Main St, West Chatham, MA 02669",1,http://www.asianparadiseonline.com/,
Double Dragon Inn,双龙,Double Dragon,Double Dragons,Fusion,0,4.2,Culture,Ambiance,,Culture,,,1,"59 MA-6A, Orleans, MA 02653",1,http://www.doubledragonorleans.com/,
Kung Fu Dumplings,功夫饺子,Kung Fu Dumplings,Kung Fu Dumplings,Dumplings,0,4.3,Culture,Specialty,,Specialty,Culture,,1,"293 Commercial St, Provincetown, MA 02657",1,http://kung-fu-dumplings.square.site/,
Panda Garden,熊家园,Bear Garden,Bear House,Fusion,0,3.6,Culture,Ambiance,,Ambiance,,,0,"95 Main St, Lee, MA 01238",1,,
Red Apple,红苹果,Red Apple,Red Apple,Fusion,0,4.1,Other,,,Positivity,,,1,"23 Park Plaza A, Lee, MA 01238",1,http://places.singleplatform.com/red-apple-81/menu?ref=google,
The East Asian Cuisine,龙,Dragon,Dragon,Fusion,0,4.2,Origin,,,Culture,,,0,"305 Stockbridge Rd, Great Barrington, MA 01230",1,http://www.theeastasiancuisine.com/,
Park's Asian Bistro & Sushi Bar,御膳房,Royal Kitchen,Imperial Dining Room,Fusion,0,4.5,Origin,Ambiance,Names,Positivity,Ambiance,,0,"3 Park St, Rehoboth, MA 02769",1,http://www.parksasianbistro.com/,
Panda Garden Chinese Restaurant,百里香,Hundred Miles Delicious,Long-Lasting Aroma,Fusion,0,4.3,Culture,Origin,Ambiance,Positivity,,,0,"49 Main St, Williamsburg, MA 01096",1,https://www.pandawilliamsburg.com/,
West Lake Gourmet Chinese Restaurant,西湖,West Lake,West Lake,Fusion,0,4.4,Location,Culture,Origin,Location,Culture,,1,"15 College Hwy, Southampton, MA 01073",1,https://westlakegourmet.com/,
New Fortune,鸿运,Good Fortune,Great Fortune,Fusion,0,4.4,Positivity,,,Positivity,,,0,"249 Mohawk Trail, Greenfield, MA 01301",1,http://newfortunegreenfield.com/,
