sample_id,national_id,Chinese_Name,English_Name,Personal_Name,Specialty,Positivity,Culture,Location,Ambiance,Pun_Creative,Relationship,Comments
3197,31641,北京,Beijing Chinese Restaurant,,,,,1,,,,
768,524,金源,Golden Wok,,,1,,,,,,
1613,29173,华利,China Lee,,,1,,1,,,,华利
2860,28795,恩来,En Lai Chinese Kitchen,1,,,,,,,,
2175,9290,皇宫,King House,,,,1,,1,,,
122,23045,清真一条龙,Darda Seafood Restaurant,,1,,1,,,,,
1430,765,美津,Mei Chang Take Out Food,,,1,,,,,,
3398,25850,鼎顶,Din Ding Dumpling House Union City,,,1,,,,,,
2619,16615,中,China Restaurant,,,,,1,,,,
1775,26730,"海富海鲜酒家
",Emperor Palace Restaurant,,1,1,,,1,,,富--> positivity
3783,8447,福临,Fu Lin,,,1,,,,,,
1797,9367,佳味楼,New Gourmet House,,,1,,,1,,,
3646,19004,华府,China Chef,,,,,1,1,,,
3192,30797,老四川,"Lao Szechuan Hot Pot Buffet, all you can eat sushi",,,,,1,,,,
3174,5356,陈家园,Chen's Garden,1,,,,,1,,,
855,16268,华园,China Garden Restaurant,,,,,1,1,,,
2075,25369,金苑酒家,Goldan Yan Restaurant,,,1,,,1,,,
2135,17802,美味,Great Taste,,,1,,,,,,
1791,10705,故乡味火锅,De Tasty Hot Pot Restaurant,,1,,,,,,1,故乡味
672,14599,友来客,You Like Skewers,,,,,,,1,1,友
784,3649,五月花,Mayflower Chinese Restaurant & Carryout,,,,1,,,,,五月花
2789,23088,来来点心,Homestyle Dim Sum Restaurant,,1,1,,,,,,"来来-> positivity, https://xmcs.buyiju.com/ceming/247066-v9zj.html"
3998,9128,龙宫,Dragon Palace,,,,1,,1,,,
2705,4648,"南北和
",Dumpling Palace,,,,,1,,,,
4023,5649,赵记烧腊,Siu Kee Duck House,1,1,,,,,,,
1208,29934,怡嘉,King's Wok,,,1,,,,,,
734,16348,食为天,Yum Yum Kitchen Chinese Cuisine,,,,,,,1,,
1628,3327,华味,China Taste,,,,,1,,,,
1558,1869,北京城,Beijing Cafe,,,,,1,,,,
934,10906,顺利,Sam Lee Kitchen,,,1,,,,,,should be creative
3341,9698,好运,Happy Kitchen,,,1,,,,,,
2661,19533,林园,China Lin,1,,,,,1,,,
117,10916,花鼓楼,No.1 Flower Drum House,,,,1,,1,,,
2713,6543,"
榕城",Chan's,,,,,1,1,,,
3835,26738,岚翔小馆,Dumpling Specialist,,,1,,,1,,,
2039,26344,哈尔滨饺子,Harbin Dumplings,,1,,,1,,,,
3543,32073,江旺,China House,,,1,,,,,,
1661,3403,"明利楼
",Ming Lee Chinese Restaurant,,,1,,,1,,,
3971,13295,锦煌,Happy Garden Chinese Restaurant,,,1,,,,,,
1115,5547,扬州陈餐馆,Annie Chen's Sushi Bar & Grill,1,,,,1,,,,
4021,10972,金城,Kam Sheng,,,1,,,1,,,
2755,30793,"
九龙",Kowloon | Chinese Restaurant,,,,,1,,,,
2874,17942,容家餐馆,China One #3,1,,,,,,,,
2532,14384,天旺,No 1 Restaurant,,,1,,,,,,
2414,24660,味之选,New Big Daddy's,,,,,,,,,味之选
3839,3254,大华小吃,Ping's Place,,1,,,1,,,,
2256,4796,厨乐,Chow n Joy,,,1,,,,,,
2460,25848,万豪轩酒家,Gourmet House,,,1,,,1,,,
1780,11556,协和,Hip Wo,,,1,,,,,,
423,27793,京园,Peking Garden,,,,,1,1,,,
2918,8356,"
嘉华",Kawah Chinese Restaurant,,,1,,,,,,
2708,23593,"
湘味馆",Long's Kitchen,,,,,1,1,,,
1589,32648,品味,Taste Place,,,1,,,,,,品味
3524,13364,焱,Yan's Cuisine,1,,,,,,,,
1183,31601,广美,Jess Cafe,,,1,,,,,,
1814,33115,聚福轩,Grand Fortune,,,1,,,1,,,
657,30598,聚园,New Asian Ju Yuan,,,1,,,1,,,聚园
2541,13771,中城,China Wok,,,,,1,1,,,
399,11884,云之南,South of the Clouds,,,,,1,,,,
3098,13745,华厨,China Kitchen,,,,,1,,,,
3080,29775,京城,China House,,,,,1,1,,,
1642,26428,"臭豆腐大王
",Tofu King,,1,1,,,,,,大王
2997,16270,金海湾,Golden Ocean Chinese Restaurant,,,1,,,1,,,
1151,228,长城,Great Wall Chinese Restaurant,,,,1,,,,,
1459,30826,双龙,Twin Dragon,,,,1,,,,,
2568,17093,中国锅,China Wok,,,,,1,,,,锅
797,21168,湖南,Hunan Express,,1,,,,,,,
2936,632,中华,CHINA DELIGHT CHINESE FOOD,,,,,1,,,,
2794,19531,"
家园",Family Garden Chinese Restaurant,,,,,,1,,1,
2630,15528,扬州馆,Sunflower Asian Cafe,,,,,1,1,,,
1498,30099,林园,Lin's Garden,1,,,,,1,,,
2091,21930,美味居,Yummy House,,,,,,,,,
3855,10072,金丰酒家,Jing Fong,,,,,,,,,
3895,6874,华冠,Taste King,,,,,,,,,
2469,17450,湖南,Hunan,,,,,,,,,
1690,618,昌兴,China Wok,,,,,,,,,
2516,5437,长城,Great Wall Szechuan House,,,,,,,,,
301,21801,万祥,J'S RAILROAD CAFE,,,,,,,,,
3440,582,龙之味,Dragon Cuisine,,,,,,,,,
2002,24242,桃园村,Peach Garden,,,,,,,,,
142,27496,松竹楼餐馆,China Wok,,,1,,,1,,,
2964,0,快乐餐馆,Happy Wok,,,,,,,,,
3896,21148,中国酒家,China Garden of Tunica,,,,,,,,,
1785,616,帝苑,King Buffet,,,1,,,,,,
181,22063,食,China Buffet,,,,1,,,,,
2643,17167,福临门,Asia Kitchen,,,,,,,,,
362,32394,华园,Five Star China Garden,,,,,,,,,
1909,22005,颐丰园,Northern Cafe,,,,,,,,,
3173,6700,大家乐,Be Happy Chinese Restaurant,,,,,,,,,
1567,17899,陈家园,Cheng's Garden,,,1,,,,,,
2225,22244,沸腾渔乡,Frying Fish,,1,,,,1,,,
3253,2497,日升,Sunflower,,,1,,,,,,
3522,16581,"华厨快餐
",Chinese Kitchen,,,,,1,,,,
146,808,美食轩,Yummy House Gainesville,,,1,,,1,,,
1101,2420,乐园,Taste of China,,,1,,,1,,,
2585,18973,中味餐厅,Taste of China,,,,,1,,,,
3477,23461,上海人家,Red Panda Kit,,,,,1,1,,,
1784,3434,杨城楼,Yeung's,1,,,,,1,,,
3455,14942,松记烧腊车仔面,Asian BBQ & Noodle,1,1,,,,,,,
1591,24959,面饭世家,Noodle or Rice,,1,,,,1,,,
3137,24128,新口味,New Flavors,,,,,,,,,
984,28983,邹,Tsou's Place,1,,,,,,,,
706,33022,宫宝,Kung Po Buffet,,,1,1,,,,,
2945,21816,中华饭店,China Gourmet,,,,,1,1,,,
534,7773,乐宫,Happy Palace,,,1,,,1,,,
2273,16971,师傅锅,Master Wok,,1,1,,,,,,
745,6093,宝华,Bo Wah Restaurant,,,1,,,,,,
1419,14202,富健,Fu Jian Chinese Restaurant,,,1,,,,,,
1021,31060,银湖,Silver Lake Chinese Restaurant,,,1,,,1,,,
3617,21346,林,Lin's Kitchen,1,,,,,,,,
343,23468,丽苑,Rice Garden Anchorage,,,1,,,1,,,
662,25464,禾轩,Hot Wok Cafe,,,1,,,1,,,
2093,13429,重庆山庄,Chong Qing House,,,,,1,1,,,
5,3208,皇宫,Number One Chinese Restaurant,,,1,,,1,,,
847,5402,竹轩,Little Bamboo Chinese Restaurant,,,,1,,1,,,
2973,28696,长城,Great Wall,,,,1,,,,,
1988,22660,一品包饺王,Dumpling Kitchen,,1,1,,,,,,
3923,28135,亚洲星,Asian Star,,,1,,1,,,,
2319,30667,清香楼,New Fresh Wok,,,1,,,1,,,
1620,5675,杨家园,Yang China House,1,,,,,1,,,
335,22089,荣华,Reng Hua,,,1,,,,,,
3560,23876,金龙湾,Golden Grill On the Bay,,,1,1,,1,,,
140,340,明园,Ming Garden Chinese Restaurant,1,,,,,1,,,
1095,31759,真善美,CHI Family Restaurant,,,1,,,,,,
1871,29557,日升,Peking Kitchen,,,1,,,,,,
3590,9260,松柏园,Changle Xin Fan Zhuang,,,,1,,1,,,
559,2653,长江,Mr. Wonton,,,,1,,,,,
3247,29098,翠宫,Jade Tiki Chinese Restaurant,,,1,,,1,,,
3337,14590,吉园,Wei's Garden,,,1,,,1,,,
81,16596,旺旺,Won Won Wok,,,1,,,,,,
3720,13692,金门,Chinese Express,,,,1,,,,,
3169,15838,金桥,Golden Bridge Chinese Restaurant,,,,1,,,,,
162,27932,香港酒家,HONG KONG RESTAURANT,,,,,1,1,,,
562,17197,亚洲,New Asia Restaurant,,,,,1,,,,
2965,21329,南京小馆,House of Nanking,,,,,1,1,,,
3997,4989,陶,Tao's Asian Cuisine,1,,,,,,,,
111,26874,厨之味,Tasty Delight,,,,,,,,,
1732,9663,"
华美",Great China Kitchen,,,1,,,,,,
1537,22499,安东饭店,On Dong Chinese Restaurant,1,,,,,1,,,
1726,22491,"
利口福饭店",Lee Ho Fook Restaurant,,,1,,,1,,,
2584,28417,香港,Hong Kong Restaurant,,,,,1,,,,
1014,24359,大鸿运酒楼,Golden Palace Seafood Restaurant,,,1,,,1,,,
1320,15753,双华,Mandarin Pine Restaurant,,,1,,,,,,
2795,22623,"大锅大卤味
",Cozy Cafe,,1,,,,,1,,
3488,32968,美味,China Taste,,,1,,,,,,
113,17220,中港城,China Harbor,,,,,1,1,,,
552,3229,长城,Great Wall,,,,1,,,,,
3259,11094,湘水山庄,Hunan House,,,,,1,1,,,
820,12735,新中国,New China,,,,,1,,,,
577,7704,湖南,Hunan Wok,,,,,1,,,,
1571,16749,"
京园",Peking Garden Asian Cuisine,,,,,1,1,,,
3703,9193,强兴,Great Taste of Maple Shade Llc,,,1,,,,,,
1282,27324,香港,Hong Kong Chinese Restaurant,,,,,1,,,,
1168,6244,苑,Dim Sum Court,,,,,,1,,,
379,33158,玉宫,Jade Palace Restaurant,,,1,,,1,,,
71,14864,乐意饭店,City Lights of China,,,1,,,1,,,
3507,13096,小四川,New Sichuan,,,,,1,,,,
2201,14406,玉亭,Peking Pavilion,,,1,,,1,,,
3659,4320,西安,Lili's Restaurant,,,,,1,,,,
1390,21604,大灯笼,Big Lantern,,,,1,,,,,
3047,29933,中华园,CHINA HOUSE,,,,,1,1,,,
2443,1928,上海,Shang Hai,,,,,1,,,,
921,6743,梅芳,Moy Fong Restaurant,,,1,,,,,,
869,24451,林家园,Lin's Asian Bistro,1,,,,,1,,,
2254,29617,陈园,House Of Chen,1,,,,,1,,,
3862,5751,三多,China Taste Restaurant,,,,,,,,,
1796,5486,五月花,Mayflower Chinese Carryout,,,,1,,,,,
1550,17294,陈氏餐厅,Chen Z Noodle House,1,,,,,,,,
236,5480,皇朝饭店,Hunan Dynasty,,,1,,,1,,,
2488,3509,包宝,Bao Bao Dumpling House,,1,1,,,,,,
202,2636,华星,China Star,,,1,,1,,,,
308,30528,金玉楼,Keng's Chow Mein,,,1,,,1,,,
1292,30897,福,China Star,,,1,,,,,,
2092,30078,寿,Wong's Wok,,,1,,,,,,
1052,586,金宝园,Kampo Garden,,,1,,,1,,,
1113,3720,东都,Eastern 88 Chinese Restaurant,,,,,1,,,,
3294,6329,陆羽轩,Chopstick Asian Cuisine,,,,1,,1,,,
455,29974,荣华,Rong Hua,,,1,,,,,,
1311,16002,福隆酒家,Mandarin Dynasty,,,1,,,1,,,
1631,7749,合兴,Hop Hing Chinese Restaurant,,,1,,,,,,
2376,31900,北味轩,Northern Cuisine,,,,,1,1,,,
3605,22496,滋味成都,Chengdu Taste,,,,,1,,,,
3380,4660,小南阁,Wing's Kitchen,,,,,1,1,,,
2105,26500,喜来登,Chef Chao Restaurant,,,1,,,,,,
2071,10167,福安,Foo On,,,1,,,,,,
3281,17317,龙园,Cuisine Of China,,,,1,,1,,,
3013,10222,金华,King Wok Chinese Food,,,1,,1,,,,
3518,22111,小肥羊,Happy Sheep Hot Pot,,1,,,,,,,
831,22701,中国小吃,Acc Chinese Fast Food,,1,,,1,,,,
3805,5556,第一,New No 1,,,1,,,,,,
3481,10555,明月,New Main Moons,,,,1,,,,,
3854,24266,一张嘴,E @ Cup,,,,,,,,,
1594,28709,富贵楼,Mandarin House,,,1,,,1,,,
1341,306,东海楼,Pearl East,,,,1,,1,,,
941,16699,香港,Cody Hong Kong Chinese Restaurant,,,,,1,,,,
3622,28470,"
美味城",Gourmet House,,,1,,,1,,,
816,13293,来来,Ming Moon Chinese Restaurant,,,1,,,,,,
1882,6666,鸿涛,Hung Tao,,,1,,,,,,
472,5449,富记,Full Kee,1,,,,,,,,
2017,12019,面,Simply Noodles,,1,,,,,,,
1153,11394,谷,Good Chinese,,1,,,,,,,
2621,10872,"红虎饺子坊
",Red Tiger Dumpling House,,1,,,,1,,,
1171,9579,绿茶,Green Tea Chinese,,,,1,,,,,
278,19171,帝苑,Royal Inn Oriental Cuisine,,,1,,,1,,,
3140,29338,亚洲,Asian Grille Buffet,,,,,1,,,,
497,24819,翠香,Joy Kitchen,,,1,,,,,,
620,18297,"汉宫酒家
",China Palace Restaurant,,,,,1,1,,,"汉宫
"
491,23477,皇帝,Imperial Palace Restaurant,,,1,,,,,,
1176,13991,北京厨房,Beijing Kitchen,,,,,1,1,,,
3980,5365,晓菲,Xiao Fei's Buffet,1,,,,,,,,
1298,28332,新茶园,New China Tea Garden Chop Suey,,,,1,,1,,,
1945,3619,北京阁,Peking Court,,,,,1,1,,,
3820,5276,明城,Ming Cheng,,,1,,,1,,,
1148,16570,陈氏餐馆,Chin's Cafe,1,,,,,,,,
1442,30845,美味中国,New Asian Express,,,1,,1,,,,
2787,30964,红日,Red Sun,,,1,,,,,,
86,9921,厨王,China Pavillion,,,1,,,,,,
1123,19229,爱福奉和,Woks it 2 U,,,1,,,,,,
1099,30806,明月,China Moon Restaurant,,,,1,,,,,
1534,701,正茂,China City,,,1,,,,,,
609,7380,华园,China Wok II,,,,,1,1,,,
3841,30849,满福,Wonderful House,,,1,,,,,,
1861,22631,臭豆腐大王,Tofu King,,1,1,,,,,,
1585,33261,东辉阁,Mr. Hui's,1,,,,,1,,,
2494,23835,夹捡成厨,Customize MaLaTang,,,,,,,1,,
458,13383,珍馐阁,Great Taste Chinese Restaurant,,,1,,,1,,,
254,18322,毛家村,King Mao,1,,,,,1,,,
4017,16011,美食家,Kawaii Sushi and Asian Cuisine - Peoria,,,1,,,,,,
3416,21924,香港小食,Hong Kong Snack House,,1,,,1,,,,
2347,7138,明月,China Moon,,,,1,,,,,
2036,13506,泰华楼,Lieu's Chinese Bistro,,,1,,1,1,,,
2198,24543,北京楼,Peking Tavern,,,,,1,1,,,
1893,18026,大城,Grand Wall Chinese Restaurant,,,,,,1,,,大城
109,559,昌旺,China Taste,,,1,,,,,,
735,26341,香港园酒家,Hong Kong Garden Restaurant,,,,,1,1,,,
3275,20173,小沈阳,Lucky Bento V.I.P. Cuisine,,,,,1,,1,,小沈阳
453,30854,上海,Shang Hai,,,,,1,,,,
918,17833,金龙,Golden China Restaurant,,,1,1,,,,,
1319,22191,北京楼,Peking Palace Restaurant,,,,,1,1,,,
2130,24685,新中国,New China,,,,,1,,,,
141,26386,玉,Uncle Yu's at the Vineyard,,,1,,,,,,
3051,17464,月星,Moon Star,,,1,,,,,,
1376,16104,北京,Peking | Chinese Restaurant,,,,,1,,,,
3743,20250,君临,Hometown Chinese Restaurant,,,,,,,,,君临
2364,13198,东宫,King's Wok Chinese Restaurant,,,,,1,1,,,
2897,1238,华星,China Star,,,1,,1,,,,
1323,30795,金宝,Golden Bowl Restaurant,,,1,,,,,,
2566,10298,美味宫,Taste of China,,,1,,,1,,,
1764,19843,陈陈,Chen Chen Chinese Buffet,1,,,,,,,,
2913,2050,成功,Wok N Roll,,,1,,,,,,
93,16458,聚宝居,Treasure Pot,,,1,,,1,,,
989,10059,金满庭粤菜馆,Dim Sum Palace,,1,1,,,1,,,
933,30471,旺佳园,China City,,,1,,,1,,,
3420,22547,美味村,Taste of Village Chinese Restaurant,,,1,,,1,,,
3938,5450,金羊,Golden China Chinese Restaurant,,1,1,,,,,,
1244,22947,喜宴,Ping Pong Chinese Cuisine,,,1,,,,,,
590,19341,新中华,New China Buffet,,,,,1,,,,
42,22978,总舖师正宗台菜,Momo Bistro,,,,1,1,,,,总舖师， 正宗
2244,896,"帝国
",Empire Szechuan,,,1,,,,,,
511,30844,翡翠轩,Jade Palace Restaurant,,,1,,,1,,,
2749,9341,罗,Ah Law Kitchen,1,,,,,,,,
3673,13077,金龙,Golden Dragon Restaurant,,,1,1,,,,,
2862,23596,一碗粉,Noodology - Irvine,,1,,,,,,,
589,22067,北京,Peking Restaurant,,,,,1,,,,
1685,29299,新华,China Palace Restaurant,,,,,1,,,,
1752,5451,"
成龙海鲜菜馆",Jackey Cafe,1,1,,,,1,,,
1483,18106,中美酒楼,Chinese American Restaurant,,,,,1,1,,,
1077,3398,远东,Far East,,,,,1,,,,
3213,4147,海园,Garden Sea,,1,,,,1,,,
1699,2620,华厨,Chinese Kitchen,,,,,1,,,,
3627,5443,珍味楼餐馆,Wok and Roll,,,1,,,1,,,
861,28922,火锅陈,Hot Pot Chen,1,1,,,,,,,
2391,26146,康康小美,Kang Kang Shau May Restaurant,1,,1,,,,,,
4007,23396,上海,New Shanghai Restaurant,,,,,1,,,,
2207,13585,海城,Ocean City Restaurant,,1,,,,1,,,
3584,12278,兴,Xing's Chef,,,1,,,,,,
1479,9633,明园,Ming's Garden,1,,,,,1,,,
1848,10281,长盛,China Jade,,,1,,,,,,
3367,18974,京华,Grand Fortuna,,,,,1,,,,
1975,30886,饭碗,Rice Bowl Chinese Restaurant,,1,,,,,,,
948,3058,来记,Best BBQ Cantonese Cuisine,1,,,,,,,,
503,7819,老吴上海小笼,LaoWu Authentic ShangHai Dumpling,1,1,,,1,,,,
465,2335,新华,New China,,,,,1,,,,
530,33070,皇厨,King's Buffet,,,1,,,,,,
512,547,兴旺,Hing Wang Chinese Restaurant,,,1,,,,,,
2551,12169,新大华,Great China,,,,,1,,,,
3966,13342,包子面煎饼,JAYD BUN,,1,,,,,,,
962,31432,琼龙,Googoo's Table,,,1,1,,,,,琼 - beautiful
2734,24301,"香港楼
",Mike's Hong Kong Bistro,,,,,1,1,,,
3643,22775,添雄楼,Yan's Garden,,,1,,,1,,,
762,4339,台北风味,Taipei Cuisine,,,,,1,,,,
3946,19118,王大,EggRoll Street,,,1,,,,,,
252,10483,皇厨,Super Kew Garden,,,1,,,,,,
812,31645,发文,Van Phat Chinese Restaurant,,,,,,,,,发文
489,29879,珍宝,Jumbo Buffet,,,1,,,,,,
392,16164,知味坊,China Gourmet Longmont,,,1,,,1,,,知味
2883,13323,天坛,China Buffet,,,,1,,,,,
2136,9939,盛美,Sing Mee Kitchen,,,1,,,,,,
2801,12344,金华,Golden China,,,1,,1,,,,
3286,30272,颐和园,Imperial House Restaurant,,,,1,,1,,,颐和园
1351,10445,大宏,China King,,,1,,,,,,
3654,715,中国宫殿,China Palace Restaurant,,,,,1,1,,,
2914,5429,华丽,Wokky's,,,1,,,,,,
2951,21892,四季飘香,Taste Of Sichuan Beaverton,,,1,,,,,,
2454,25131,上流食府,San Gabriel,,,1,,,1,,,
3755,22568,福苑,Fu House Chinese Food and Sushi,,,1,,,1,,,
177,3506,顺风楼,China Village,,,1,,,1,,,
2542,10978,必厨,Bi Kitchen,1,,,,,1,,,
72,20551,熊猫,Panda House,,,,1,,,,,
3393,22678,竹园,Bamboo Garden Restaurant,,,,1,,1,,,
580,10299,大华,Grand China,,,,,1,,,,
1596,31991,熊猫,Panda Chinese Restaurant,,,,1,,,,,
1301,30888,华园,China Garden Restaurant,,,,,1,1,,,
1429,16507,紫竹林,Bamboo Garden Asian Grille,,,,1,,1,,,林
1540,4933,旺角,Easton Lucky Corner,,,,,1,,,,
3467,16248,五月花,Mayflower Chinese Cuisine,,,,1,,,,,
2723,14998,老黄快餐,Mr. Wong,1,,,,,,,,
2815,25152,架势堂,Bistro 1968,,,,,,1,,,
2183,21335,景城,City View Restaurant,,,,,,1,,,
1991,25428,地铁站奶茶,Metro Hong Kong Dessert and Milk Tea,,1,,,,,,,
3878,6279,上海,Shanghai Chinese Restaurant,,,,,1,,,,
907,32642,翡翠,J & I Chinese Kitchen,,,1,,,,,,
1560,9546,味中味,How May Kitchen,,,,,,,1,,
1004,2883,香港,New Hong Kong Restaurant,,,,,1,,,,
95,4477,聚仙楼,Number One Taste,,,1,,,1,,,
3788,25972,李氏餐馆,Lee's Chinese Restaurant,1,,,,,,,,
65,20864,中国,New China,,,,,1,,,,
1487,5560,北京楼,Peking Palace Chinese Restaurant,,,,,1,1,,,
2650,11085,华兴,Wok King,,,1,,1,,,,
3586,9285,第一,No. 1 Chinese Kitchen,,,1,,,,,,
3368,24556,金湖酒家,Golden Lake Eatery,,,1,,,1,,,
3449,22670,一品川湘,Sichuan Style Restaurant,,,1,,1,,,,
1441,25839,欣欣菜馆,Yen Yen Chinese Cuisine,1,,,,,,,,
456,27366,红宝,Wok & Roll,,,1,,,,,,
3712,23480,亚洲,New Asia,,,,,1,,,,
2357,8640,金鹰,Golden Eagle Chinese Restaurant,,,1,,,,,,
1309,8948,东方,Far East Kitchen,,,,,1,,,,
2032,22847,新金马餐馆,Golden Horse Restaurant,,,1,,,,,,
1758,19826,美味,Famous Chinese Buffet,,,1,,,,,,
2420,27070,红馆,China Red,,,1,,,1,,,
692,6636,金海,Golden Sea Chinese Restaurant,,,1,,,,,,
3572,6338,朱李园,Chu-Lee Gardens Bradford Chinese Restaurant,1,,,,,1,,,
1026,658,松园,Tree Garden,,,,1,,1,,,
3791,28827,美食,New China Gourmet,,,1,,,,,,
2011,4498,帝国,Empire Buffet,,,1,,,,,,
3575,15362,岭南,Linh Nam Chinese Restaurant,,,,,1,,,,
3667,24388,"
政记牛肉面",New Noodle Garden Taiwanese Cuisine,1,1,,,,,,,
925,8763,长城,Great Wall Kitchen,,,,1,,,,,
978,6529,金丰,Jing Fong,,,1,,,,,,
3316,5143,长城,Great Wall,,,,1,,,,,
3872,30651,长城,Great Wall,,,,1,,,,,
3177,13513,中,Little China Restaurant,,,,,1,,,,
3716,18287,好味,Yummy Yummy Chinese Restaurant,,,1,,,,,,
492,4223,中华,China Cafe,,,,,1,,,,
3491,7779,文武,Wun Wu Chinese Kitchen,,,,1,,,,,文武
3067,17005,老熊川菜,Little Sichuan Cuisine,1,1,,,,,,,
417,5431,华园,Lucky Wok,,,,,1,1,,,
3568,31104,津香,June Heng Restaurant,,,1,,,,,,
158,14280,第一,Top's China,,,1,,,,,,
3203,27758,金山楼,Golden Mountain Restaurant,,,1,,,1,,,
1599,9350,湖南,China Pavilion,,,,,1,,,,
1243,10507,瑭园,Tang's Garden,1,,,,,1,,,
68,24667,半岛海鲜酒家,Chef's Wok,,1,,,,1,,,
3204,1425,中餐百佳,First Wok,,,1,,1,,,,
2664,3172,北京,Peking Chinese Restaurant,,,,,1,,,,
3558,7964,高美,Kosher Chinese Express,,,1,,,,,,
3513,6710,国亨,Szechuan Express,,,1,,,,,,
3482,15575,红粥面,Red 8,,1,,,,,,,
2655,15108,华记,China City Restaurant,1,,,,,,,,
1972,17518,长城,Great Wall,,,,1,,,,,
3297,28715,静静,J.W. Chen's,1,,,,,,,,
2976,6691,翡翠园,Jade Palace Restaurant,,,1,,,,,,
1050,6855,好彩,Taste King Restaurant,,,,,,,,,
166,17283,亚洲,Asia Cafe,,,,,1,,,,
1710,29720,许氏金龙,China buffet,1,,1,1,,,,,
1956,10360,熊猫,Panda,,,,1,,,,,
1650,28766,福,No 1 Chinese Restaurant,,,1,,,,,,
3588,27413,金国,Golden China,,,1,,,,,,
1228,13426,"青岛酒家
",Ching Tao Restaurant,,,,,1,1,,,
1856,13370,江子龙,Super Dragon,,,,1,,,,,
1966,21678,休闲小站,Eat Time,,,,,,1,,,
134,4337,大茶饭,Big Fun Cafe,,1,,,,,,,
227,5915,中福,Golden Dragon,,,1,,1,,,,
3314,32004,月宫,Moon Temple Chinese Restaurant,,,,1,,,,,
2972,5744,新悦,Red Tea House,,,1,,,,,,
317,16109,天仁居,Wonderful Bistro,,,1,,,1,,,
1749,28449,长城,GREAT WALL,,,,1,,,,,
3549,17689,"
华园",China Garden Restaurant,,,,,1,1,,,
3464,29752,"月华饭店
",China Moon Restaurant,,,,,1,,,,
294,12847,新东庄,China One,,,,,1,1,,,
1502,5342,华园,Highland China House,,,,,1,1,,,
3258,18840,华园,China Garden,,,,,1,1,,,
2097,3372,康利,Camden Island,,,1,,,,,,
3166,16593,金龙酒家,Golden Dragon Buffet,,,1,1,,1,,,
2962,20239,中国龙,China Dragon buffet,,,,1,1,,,,
2791,22595,快餐一号,No. 1 Express,,,,,,,,,
3531,30371,明厨,Ming's Garden Chinese Restaurant,,,1,,,1,,,
3056,3017,中国,Grand China,,,,,1,,,,
271,21231,第一,No 1 Chinese Restaurant,,,1,,,,,,
1439,32092,华园,China Buffet,,,,,1,1,,,
2170,17527,川潮,Lee's Asian Fusion,,,,,1,,,,
2158,8570,兴隆,Goody Restaurant,,,1,,,,,,
3613,6654,宏东,Chen's Garden Chinese Restaurant,,,1,,1,,,,
