Chinese_Name,English_Name,Personal_Name,Specialty,Positivity,Origin,Culture,Location,Ambiance,Pun_Creative,Comments
N/A,Mae Asian Eatery,,0,0,0,0,0,0,0,other
御堂春,Cilantro Chinese Cuisine,,0,0,0,0,0,0,1,
新金门海鲜酒家,New Golden Gate Seafood,,1,0,0,0,0,1,0,
珍宝轩,Jumbo Seafood,,0,0,0,0,0,1,0,
京味,Beijing Cafe,,0,0,0,0,1,0,0,
温莎点心美食,Winsor Dim Sum Café,1,0,0,0,0,0,0,0,other
美味轩,Great Taste Bakery & Restaurant,,0,0,0,0,0,1,0,
湘遇,Xiang Yu China Bistro,,0,0,0,0,0,0,1,
邕江,Young Kong,,0,0,0,0,1,0,0,
N/A,Mei Mei Dumplings,,0,0,0,0,0,0,0,other
广东楼,Canton House,,0,0,0,0,1,0,0,
喜临门大酒楼,Hei La Moon Restaurant,,0,0,0,0,0,1,0,
嘉嘉海鲜菜馆,Gaga Seafood Restaurant,1,1,0,0,0,0,0,0,
N/A,Lucky Boston Chinese,,0,0,0,0,0,0,0,other
N/A,Dragon Bowl,,0,0,0,0,0,0,0,other
好彩,New Ho Toy,,0,1,0,0,0,0,1,
福城,Food Wall Chinese Restaurant,,0,1,0,0,0,1,0,
新月宫海鲜酒家,New Moon Villa Restaurant,,1,0,0,0,0,1,0,
陆记明炉烧腊,Lucky Cafe,,1,0,0,0,0,0,0,
姑娘手西安小吃,Xi’An Rougamo,,0,0,0,0,1,0,0,
中华,Chung Wah,,0,0,1,0,0,0,0,
华明,Mandarin Restaurant,,0,0,0,0,0,0,0,other
满福轩,Billy Tse,,0,0,0,0,0,1,0,
好食光,HaoShiGuang,,0,0,0,0,0,0,1,
龙星,Dragon Star Chinese Restaurant,,0,0,0,1,0,0,0,
海港楼,Hong Kong Harbor,,0,0,0,0,0,1,0,大海
青岛园,QingDao Garden,,0,0,0,0,1,0,0,
N/A,Oriental,,0,0,0,0,0,0,0,other
香港美食,Hong Kong Cafe,,0,0,0,0,1,0,0,
十秒到云南米线,Ten Second Yunnan Rice Noodles,,0,0,0,0,1,0,0,
湘私馆,Spicy Hunan Kitchen,,0,0,0,0,1,1,0,
友情客串,Friendship BBQ Boston,,1,0,0,0,0,0,1,
东方红,Chinese Dragon,,0,0,1,0,0,0,1,
聚福海鲜酒楼,Joyful Garden,,1,0,0,0,0,1,0,
渪圖,Great Chef Chinese Food at Day Square,,0,0,0,0,0,0,0,other
无二烤肉,Wu Er by WOW Barbecue,,1,0,0,0,0,0,0,
N/A,The Kosher Wok,,0,0,0,0,0,0,0,other
N/A,Bess's Cafe,,0,0,0,0,0,0,0,other
N/A,Teriyaki Yummy,,0,0,0,0,0,0,0,other
第五空间 家常川菜,Our Zone,,0,0,0,0,1,0,0,
风味亭,Zoe’s Chinese Restaurant,,0,0,0,0,0,1,0,
N/A,Dragon Chef,,0,0,0,0,0,0,0,other
花苑,Rose's Chinese Restaurant,,0,0,0,0,0,1,0,
N/A,Tin Tin Buffet,,0,0,0,0,0,0,0,other
面对面,MDM Noodles,,1,0,0,0,0,0,1,
心厨,Dumpling Kitchen,,0,0,0,0,0,1,0,
顿嘉,China Garden Restaurant,,0,0,0,0,0,0,0,other
厨乐,Chow N Joy,,0,0,0,0,0,1,0,
常熟,Changsho,,0,0,0,0,1,0,0,
中国楼,China House,,0,0,1,0,0,0,0,
锦煌,Golden Place,,0,0,0,0,0,0,0,other
N/A,Szechuan Delight,,0,0,0,0,0,0,0,other
亚洲城,Asian Paradise,,0,0,1,0,0,0,0,
N/A,Sun On Chinese Food,,0,0,0,0,0,0,0,other
双龙,Double Dragon Inn,,0,0,0,1,0,0,0,
N/A,Fortune Cookie Chinese Restaurant to go,,0,0,0,0,0,0,0,other
功夫饺子,Kung Fu Dumplings,,1,0,0,0,0,0,0,
N/A,Lee’s Dynasty,,0,0,0,0,0,0,0,other
N/A,Chee's Chinese Cuisine,,0,0,0,0,0,0,0,other
N/A,Chopsticks,,0,0,0,0,0,0,0,other
N/A,Oriental Buffet,,0,0,0,0,0,0,0,other
熊家园,Panda Garden,,0,0,0,0,0,1,0,
红苹果,Red Apple,,0,0,0,0,0,0,0,other
N/A,Orient Taste,,0,0,0,0,0,0,0,other
龙,The East Asian Cuisine,,0,0,0,1,0,0,0,
N/A,Great Wall Chinese Restaurant,,0,0,0,0,0,0,0,other
N/A,Koi,,0,0,0,0,0,0,0,other
N/A,China Gourmet,,0,0,0,0,0,0,0,other
N/A,Zeno's II,,0,0,0,0,0,0,0,other
御膳房,Park's Asian Bistro & Sushi Bar,,0,0,0,0,0,1,1,
N/A,China Wok Chinese Restaurant,,0,0,0,0,0,0,0,other
N/A,Golden China Restaurant,,0,0,0,0,0,0,0,other
百里香,Panda Garden Chinese Restaurant,,0,0,0,0,0,0,1,
西湖,West Lake Gourmet Chinese Restaurant,,0,0,0,0,1,0,0,
N/A,Luau Hale Restaurant,,0,0,0,0,0,0,0,other
N/A,The Wok,,0,0,0,0,0,0,0,other
N/A,Ce Ce's,,0,0,0,0,0,0,0,other
N/A,Tea House,,0,0,0,0,0,0,0,other
鸿运,New Fortune,,0,1,0,0,0,0,0,
