,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,index,English_Name,Chinese_Name,Literal_Translation,Dish Type,Creative Translation (1 = yes),Rating,Category_EN_1,Category_EN_2,Category_EN_3,Category_CH_1,Category_CH_2,Category_CH_3,Translation(Literal = 1),Address,Area,Website,Order Website,Metric 1 Retain Meanings,Metric 2 Similarities,Metric 3 Creativity,chatGPT_translation,embedding_similarity,BERT_F1,BERT_precision,BERT_recall
10,10,10,10,10,Boston Soup Dumplings,烹小鲜,Cook Little Fresh,Fusion,0,4.8,Location,Positivity,Specialty,Positivity,,,0,"113 Brighton Ave, Boston, MA 02134",0,https://www.bostonsoupdumplings.com/,,1.0,0.3333333333333333,2,Cooking Small Fresh,0.3482,0.9770748615264893,0.9784227609634399,0.9757307171821594
11,11,11,11,11,Six Po Hot Pot,六婆串串香,Six Auntie Skewers Delicious,Sichuan,0,4.1,Names,Specialty,,Names,Specialty,Positivity,0,"1353 Beacon St, Brookline, MA",0,http://www.sixpousa.com/,,0.6666666666666666,0.6666666666666666,0,Six Po Chuan Chuan Xiang,0.5521,0.9693546891212463,0.9698652029037476,0.9688447713851929
12,12,12,12,12,Kaojiu Restaurant,烤究,Study of Roasting,Barbecue,0,4.1,Romanized,,,Pun_Creative,Specialty,,0,"406 Harvard Street , Brookline, MA",0,https://www.kaojiurestaurant.com/,,0.0,0.0,1,Roast Research,0.1094,0.9714601635932922,0.9731648564338684,0.9697613716125488
13,13,13,13,13,Tasty Pot,味鼎,Taste Tripod,hotpot,0,4.2,Positivity,,,Positivity,,,1,"194 Harvard Ave, Boston, MA",0,http://www.tastypotboston.com/,,1.0,1.0,0,Taste Tripod,0.3061,0.9863654971122742,0.9862502813339233,0.986480712890625
14,14,14,14,14,Golden Garden,金山饭店,Golden Mountain Restaurant,Northeastern,0,4.0,Ambiance,Positivity,,Positivity,,,0,"9 Highland Ave, Malden, MA",0,https://www.goldengardenmalden.com/,,1.0,0.5,1,Golden Mountain Restaurant,0.5795,0.9759024977684021,0.9738088250160217,0.9780052304267883
15,15,15,15,15,Taste House,百味轩,Hundred Taste Pavillion,Fusion,0,4.9,Ambiance,,,Positivity,Ambiance,,0,"275 Moody St, Waltham, MA",0,,https://order.mealkeyway.com/merchant/6b376f51364d44624b33745964786e6761545a6543673d3d/main,0.5,0.5,0,Hundred Flavors Pavilion,0.4995,0.9781020879745483,0.9786754846572876,0.9775294065475464
16,16,16,16,16,Sumiao Hunan Kitchen,素描湘,Sketch Hunnan,Hunan,0,4.2,Location,Romanized,Ambiance,Location,,,0,"270 Third St, Cambridge, MA 02142",0,http://www.sumiaohunan.com/,,1.0,0.3333333333333333,2,Sketch Xiang,0.3436,0.9802659153938293,0.9812686443328857,0.9792652130126953
17,17,17,17,17,District Kitchen,饺子馆,Dumpling Pavillion,Fusion,0,4.3,Ambiance,,,Specialty,Ambiance,,0,"2 Florence St, Malden, MA 02148",0,https://www.district-kitchen.com/,,0.5,0.5,0,Dumpling House,0.346,0.9999998807907104,0.9999998807907104,0.9999998807907104
18,18,18,18,18,BOS' SiChuan Taste,一碟川菜馆,One Plate Sichuan Cuisine Restaurant,Sichuan,0,4.3,Location,,,Location,Ambiance,,0,"204 Harvard Ave, Allston, MA 02134",0,http://www.bosyidie.com/,,0.5,0.5,0,A Plate of Sichuan Restaurant,0.626,0.9825457334518433,0.9825457334518433,0.9825457334518433
19,19,19,19,19,Noah's Kitchen,亚轩十八,Asian Pavillion Eighteen,Fusion,0,4.3,Ambiance,Names,,Ambiance,Origin,,0,"18 Harvard St, Brookline, MA 02445",0,https://www.noahs.kitchen/,,0.5,0.3333333333333333,1,Asia Xuan Eighteen,0.1689,0.9603965282440186,0.9588679671287537,0.9619300365447998
20,20,20,20,20,Lu Fu Zi,卤夫子,Brined Scholar,,0,,Romanized,,,Specialty,Culture,Pun_Creative,0,"154 harvard ave, Allston, MA",0,,https://www.chowbus.com/delivery/menu/Lu%20Fu%20Zi/2172,0.0,0.0,1,Master of Braised,0.1038,0.9660946130752563,0.9652029275894165,0.9669879674911499
21,21,21,21,21,Grill Fish,烤鱼之家,Home of Grilled Fish,,0,,Specialty,,,Specialty,Ambiance,,1,"7 Beach St, Boston, MA",0,,https://www.chowbus.com/delivery/menu/Grill%20Fish/8423,0.5,0.5,0,Grilled Fish House,0.7939,0.9852033853530884,0.9854727983474731,0.9849340915679932
22,22,22,22,22,Brother Crab Pot,哥俩肉蟹煲,Two Brothers Meaty Crab Pot,,0,,Specialty,,,Specialty,,,0,"7 Beach St, Boston, MA",0,,https://www.chowbus.com/delivery/menu/Brother%20Crab%20Pot/8949,1.0,1.0,0,Two Brothers Meat Crab Pot,0.8268,0.9761335253715515,0.9750643968582153,0.9772050976753235
23,23,23,23,23,Hong Kong Style Hot pot,香满园打边炉港式火锅,Fragrance Full Garden Hong Kong Style Hotpot,Cantonese,0,3.9,Location,Specialty,,Location,Specialty,,0,"28 Harrison Ave, Boston, MA",0,,https://www.chowbus.com/delivery/menu/Hong%20Kong%20Style%20Hot%20pot/9691,1.0,1.0,0,Fragrant Full Garden Side Stove Hong Kong Style Hot Pot,0.7423,0.9822468757629395,0.9800382852554321,0.9844653010368347
24,24,24,24,24,China Gourmet Restaurant,味中味,Taste in Taste,Fusion,0,4.0,Origin,,,Positivity,,,0,"23 tyler st #1905, Boston, MA",0,https://www.chinagourmetboston.com/,,0.0,0.0,1,Taste in Taste,0.1387,0.9775876402854919,0.9758815169334412,0.979299783706665
25,25,25,25,25,Dolphin Bay,海豚湾,Dolphin Bay,Taiwan,0,4.3,Ambiance,,,Ambiance,,,1,"72 Brighton Ave, Allston, MA",0,,https://www.chowbus.com/delivery/menu/Dolphin%20Bay/196,1.0,1.0,0,Dolphin Bay,1.0,0.9761345386505127,0.9758208990097046,0.9764484167098999
26,26,26,26,26,Mala Restaurant,一麻一辣,One Numb One Spicy,Sichuan,0,4.2,Specialty,,,Specialty,Pun_Creative,,0,"129 Brighton Ave, Allston, MA 02134",0,https://malarestauranttogo.com/,,0.5,0.5,0,One Hemp One Spicy,0.094,0.9794244766235352,0.9794244766235352,0.9794244766235352
27,27,27,27,27,Supreme BBQ,尚品烤吧,Fashion Taste BBQ bar,Barbecue,0,4.2,Positivity,Specialty,,Specialty,Positivity,,0,"247 Eastern Ave, Malden, MA 02148",0,https://qmenu.us/#/supreme-bbq-malden,,1.0,1.0,0,Top Quality Roast Bar,0.478,0.9748955368995667,0.9763165712356567,0.9734786748886108
28,28,28,28,28,Yunnan Kitchen,彩云之南,South of the Colorul Cloud,Yunan,0,4.3,Location,Ambiance,,Location,,,0,"1721 Washington St #B, Boston, MA 02118",0,http://yunnankitchensouthend.com/,,1.0,0.5,1,Colorful Clouds South,0.1496,0.9749114513397217,0.9797585010528564,0.9701120853424072
29,29,29,29,29,New China,新中国,New China,Fusion,0,4.0,Origin,,,Origin,,,1,"869 Harrison Ave, Boston, MA 02118",0,,,1.0,1.0,0,New China,1.0,0.9748644828796387,0.976629376411438,0.9731059670448303
30,30,30,30,30,Yummee,渔米,Fishing Rice,Fusion,0,3.4,Romanized,,,Positivity,,,0,"665 Tremont St Ste A, Boston, MA 02118",0,https://www.menuorg.com/mobile/index.html#/shop/Yummee?id=39662,,0.0,0.0,1,Fish Rice,0.1154,0.9792401194572449,0.9792240262031555,0.9792561531066895
31,31,31,31,31,Peking House,财富,Fortune,Beijing,0,4.2,Location,Ambiance,,Positivity,,,0,"160 Dudley St, Roxbury, MA 02119",0,http://pekinghouseboston.com/,,0.0,0.0,2,Wealth,0.2459,0.9715980887413025,0.9644714593887329,0.9788308143615723
32,32,32,32,33,Dumpling Palace,南北和,South North Together,Fusion,0,3.5,Specialty,Ambiance,,Positivity,,,0,"179 Massachusetts Ave, Boston, MA 02115",0,https://www.dumpling-palace.com/,,0.0,0.0,2,South and North Harmony,0.1559,0.9771628379821777,0.9770342111587524,0.977291464805603
33,33,33,33,34,Empire Garden Restaurant,帝苑大酒楼,Empire Garden Great Restaurant,Cantonese,0,3.9,Positivity,Ambiance,,Positivity,Ambiance,,1,"690 Washington St, Boston, MA 02111",0,,,1.0,1.0,0,Emperor Garden Grand Restaurant,0.8205,0.9672459363937378,0.9698200225830078,0.9646854400634766
34,34,34,34,35,Wing's Kitchen,小南阁,LIttle South Attic,Fusion,0,4.3,Names,Ambiance,,Ambiance,,,0,"13 Hudson St, Boston, MA 02111",0,https://www.wingskitchenboston.com/,,1.0,0.5,1,Small South Pavilion,0.4019,0.9773045778274536,0.9774811863899231,0.9771281480789185
35,35,35,35,36,Jade Garden,翠苑海鲜酒楼,Emerald Garden Seafood Restaurant,Fusion,0,3.9,Positivity,Ambiance,,Specialty,Positivity,,0,"20 Tyler St, Boston, MA 02111",0,,,0.5,0.3333333333333333,1,Jade Garden Seafood Restaurant,0.6897,0.977726399898529,0.9796028137207031,0.9758571982383728
36,36,36,36,37,The Q,小绵羊火锅,Little Lamb Hotpot,hotpot,0,4.5,Names,,,Specialty,,,0,"660 Washington St, Boston, MA 02111",0,https://thequsa.com/boston-q-restaurant-food-menu?y_source=1_OTM1MjkzMjgtNzE1LWxvY2F0aW9uLm1lbnVfdXJs,,0.0,0.0,1,Little Cotton Sheep Hot Pot,0.1522,0.9819731116294861,0.9805206060409546,0.9834298491477966
37,37,37,37,38,Clay Pot Cafe,旺角,Mong Kok,Cantonese,0,4.3,Specialty,Ambiance,,Location,,,0,"74 Kneeland St, Boston, MA 02111",0,https://www.claypotcafemassachusetts.com/,,0.0,0.0,2,Prosperous Corner,0.2468,0.9746921062469482,0.9765697717666626,0.9728215932846069
38,38,38,38,39,Double Chin Modern Asian Restaurant,为食家,For Food Home,Fusion,0,4.1,Origin,,,Ambiance,,,0,"86 Harrison Ave, Boston, MA 02111",0,http://www.doublechinbos.com/,,0.0,0.0,1,For Food Home,0.2472,0.9768231511116028,0.9749639630317688,0.9786894917488098
39,39,39,39,40,Royal East,五月花,May flower,Fusion,0,3.9,Positivity,Origin,,Other,,,0,"782 Main St, Cambridge, MA 02139",0,https://royaleastcambridge.com/,,0.0,0.0,2,May Flower,0.1419,0.9718416929244995,0.9683613181114197,0.9753472208976746
40,40,40,40,41,Ding Ho,顶好快餐,Top Good Fast Food,Fusion,0,4.7,Romanized,,,Specialty,Positivity,,0,"88 Harrison Ave, Boston, MA 02111",0,,,0.0,0.0,1,Top Good Fast Food,0.1243,0.9710358381271362,0.969519317150116,0.9725571274757385
41,41,41,41,42,Liaoxiang Rice Noodle,撩香米线,Tempting Fragrant Rice Noodle,Yunnan,0,4.9,Specialty,Romanized,,Specialty,Positivity,,0,"7 Knapp St, Boston, MA 02111",0,,,0.5,0.3333333333333333,1,Tease Fragrant Rice Noodles,0.6173,0.9860185384750366,0.9856517314910889,0.9863856434822083
42,42,42,42,43,Gene's Chinese Flatbread Cafe,老西安,Old Xi'an,Xian,0,4.5,Names,Specialty,Ambiance,Location,,,0,"86 Bedford St, Boston, MA 02111",0,http://www.genescafeboston.com/,,0.0,0.0,3,Old Xi'an,0.1454,0.9844179153442383,0.9844179153442383,0.9844179153442383
43,43,43,43,44,Hong Kong Eatery,香港小食,Hong Kong Street Food,Cantonese,0,4.2,Location,,,Location,,,1,"79 Harrison Ave, Boston, MA 02111",0,https://www.toasttab.com/hong-kong-eatery-79-harrison-ave,,1.0,1.0,0,Hong Kong Snacks,0.7744,0.9748181700706482,0.9753379821777344,0.9742989540100098
44,44,44,44,45,Wai Wai,威威,Wei Wei,Cantonese,0,3.9,Names,,,Names,,,0,"26 Oxford St, Boston, MA 02111",0,,,1.0,1.0,0,Wei Wei,0.3667,0.9714663028717041,0.9745690226554871,0.9683831930160522
45,45,45,45,46,Silk Road Uyghur Cuisine,丝绸之路新疆美食,Silk Road Xinjiang Cuisine,Uyghur,0,4.4,Culture,Specialty,,Location,Culture,Specialty,1,"645 Cambridge St, Cambridge, MA 02141",0,http://www.silkroadcambridge.com/,,0.6666666666666666,0.6666666666666666,0,Silk Road Xinjiang Cuisine,0.7988,0.9862971305847168,0.9862971305847168,0.9862971305847168
46,46,46,46,47,Peach Farm,小桃园,Little Peach Garden,Fusion,0,3.9,Ambiance,,,Ambiance,,,1,"4 Tyler St, Boston, MA 02111",0,https://peachfarmseafood.com/,,1.0,1.0,0,Little Peach Garden,0.7672,0.9783322215080261,0.9809521436691284,0.9757262468338013
47,47,47,47,49,Great Wok Restaurants,江东楼,River East House,Fusion,0,3.7,Positivity,,,Ambiance,,,0,"1284 Massachusetts Ave #1608, Dorchester, MA 02125",0,http://www.greatwokdorchester.com/,,0.0,0.0,1,River East House,0.2507,0.9826728105545044,0.9829457998275757,0.9823999404907227
48,48,48,48,50,Su Su Gourmet,素素小食,Su Su Street Food,Cantonese,0,3.4,Names,,,Names,,,1,"70 Tyler St, Boston, MA 02111",0,https://www.susugourmetbostonma.com/,,1.0,1.0,0,Su Su Snacks,0.6087,0.9772336483001709,0.9777034521102905,0.9767643213272095
49,49,49,49,52,Cilantro Chinese Cuisine,御堂春,Royal Hall Spring,Fusion,0,3.9,Origin,,,Positivity,Ambiance,Pun_Creative,0,"1105 Massachusetts Ave, Cambridge, MA 02138",0,http://www.cilantrochinesecuisine.com/?utm_source=gmb&utm_medium=website,,0.0,0.0,1,Imperial Hall Spring,0.1505,0.9765387177467346,0.9740583896636963,0.9790316820144653
50,50,50,50,53,New Golden Gate Seafood,新金门海鲜酒家,New Golden Gate Seafood Restaurant,Fusion,0,4.2,Positivity,Specialty,,Positivity,Ambiance,,1,"66 Beach St, Boston, MA 02111",0,https://newgoldengateseafood.com/,,0.5,0.3333333333333333,1,New Golden Gate Seafood Restaurant,0.9208,0.9779583215713501,0.9777256846427917,0.9781911373138428
51,51,51,51,54,Jumbo Seafood,珍宝轩,Treasure Pavillion,Cantonese,1,4.0,Specialty,,,Positivity,Ambiance,,0,"5 Hudson St, Boston, MA 02111",0,https://www.jumboseafoodboston.net/,,0.0,0.0,1,Treasure Pavilion,0.2218,0.9843376278877258,0.9843376278877258,0.9843376278877258
52,52,52,52,55,Beijing Cafe,京味,Beijing Taste,Beijing,0,3.4,Location,Ambiance,,Location,,,0,"728 Commonwealth Ave, Boston, MA 02215",0,https://www.beijingcafeusa.com/,,1.0,0.5,1,Beijing Flavor,0.7181,0.9783587455749512,0.9787814617156982,0.9779364466667175
53,53,53,53,56,Winsor Dim Sum Café,温莎点心美食,Windsor Dim Sum Cuisine,Cantonese,0,3.9,Names,Specialty,Ambiance,Names,Specialty,,1,"10 Tyler St, Boston, MA 02111",0,http://runinos.com/places/windsor-dim-sum-cafe-boston-ma/,,1.0,0.6666666666666666,1,Windsor Dim Sum Cuisine,0.6134,0.9711237549781799,0.9738439917564392,0.9684186577796936
54,54,54,54,57,Great Taste Bakery & Restaurant,美味轩,Tasty Pavillion,Cantonese,0,4.0,Positivity,,,Positivity,Ambiance,,1,"63 Beach St, Boston, MA 02111",0,http://greattastebakery.com/,,0.5,0.5,0,Delicious Pavilion,0.4719,0.9851702451705933,0.9851702451705933,0.9851702451705933
55,55,55,55,58,Xiang Yu China Bistro,湘遇,Hunan Meet,Hunan,0,4.2,Romanized,Ambiance,Origin,Pun_Creative,Location,,0,"1223 Beacon St, Brookline, MA 02446",0,http://www.xychinabistro.com/,,0.0,0.0,3,Xiang Encounter,0.6324,0.9815202951431274,0.9821953177452087,0.980846107006073
56,56,56,56,59,Young Kong,邕江,Yong River,Cantonese,0,3.6,Romanized,,,Location,,,0,"300 Centre St, Jamaica Plain, MA 02130",0,https://www.youngkongma.com/,,0.0,0.0,1,Yong River,0.2678,0.9776150584220886,0.9791933298110962,0.9760419130325317
57,57,57,57,61,Canton House,广东楼,Canton House,Cantonese,0,3.7,Location,Ambiance,,Location,Ambiance,,1,"6 Hancock St, Boston, MA 02125",0,http://www.cantonhousema.com/,,1.0,1.0,0,Guangdong Building,0.3636,0.9797360301017761,0.9797899723052979,0.9796820282936096
58,58,58,58,62,Hei La Moon Restaurant,喜临门大酒楼,Joy Near Door Great Restaurant,Cantonese,0,4.0,Romanized,,,Positivity,Ambiance,,0,"83 Essex St, Boston, MA 02111",0,https://www.heilamoonrestaurant.com/order/,,0.0,0.0,1,Happy Linmen Grand Restaurant,0.3807,0.9722260236740112,0.9718209505081177,0.9726314544677734
59,59,59,59,63,Gaga Seafood Restaurant,嘉嘉海鲜菜馆,Gaga Seafood Restaurant,Cantonese,0,4.2,Names,Specialty,,Names,Specialty,,1,"25 Tyler St #1905, Boston, MA 02111",0,http://www.gagaseafoodbostonma.com/menu.aspx,,1.0,1.0,0,Jia Jia Seafood Restaurant,0.4833,0.9755939841270447,0.9753674268722534,0.9758206605911255
60,60,60,60,66,New Ho Toy,好彩,Good Color,Cantonese,0,3.6,Romanized,,,Positivity,,,0,"746 Dudley St, Dorchester, MA 02125",0,https://www.newhotoydorchester.com/,,0.0,0.0,1,Good Luck,0.0016,0.9632564187049866,0.9644755125045776,0.9620404243469238
61,61,61,61,67,Food Wall Chinese Restaurant,福城,Luck City,Fusion,0,3.7,Origin,,,Positivity,,,0,"387 Centre St, Jamaica Plain, MA 02130",0,http://www.foodwallchinese.com/?utm_source=gmb&utm_medium=website,,0.0,0.0,1,Fortune City,0.2486,0.964654803276062,0.9685723185539246,0.9607689380645752
62,62,62,62,68,New Moon Villa Restaurant,新月宫海鲜酒家,New Moon Palace Seafood Restaurant,Fusion,0,3.5,Ambiance,,,Specialty,Ambiance,,1,"15 Edinboro St, Boston, MA 02111",0,https://newmoonvillast.com/,,0.5,0.5,0,New Moon Palace Seafood Restaurant,0.7911,0.9766549468040466,0.9768638014793396,0.9764461517333984
63,63,63,63,69,Lucky Cafe,陆记明炉烧腊,Lu's Open Oven Roasted Meat,Cantonese,0,4.2,Positivity,Ambiance,,Names,Specialty,,0,"1107 Dorchester Ave, Boston, MA 02125",0,,,0.0,0.0,2,Lu Ji Ming Furnace Roast,0.1964,0.9849017262458801,0.984123706817627,0.9856809377670288
64,64,64,64,70,Xi’An Rougamo,姑娘手西安小吃,Girl Hand Xi'an Street Food,Xian,0,3.5,Location,Specialty,,Location,,,0,"417 Washington St, Boston, MA 02110",0,https://www.toasttab.com/xian-rougamo-boston-417-washington-street,,1.0,0.5,1,Girl Hand Xi'an Snacks,0.3354,0.9830273389816284,0.9830273389816284,0.9830273389816284
65,65,65,65,71,Chung Wah,中华,China,Fusion,0,4.1,Romanized,,,Origin,,,0,"199 Bowdoin St, Dorchester, MA 02122",0,https://chungwahboston.com/,,0.0,0.0,1,China,0.2767,0.9769836068153381,0.9763175249099731,0.9776506423950195
66,66,66,66,72,Mandarin Restaurant,华明,China Bright,Fusion,0,3.8,Origin,,,Positivity,Origin,,0,"7 Union Square, Somerville, MA 02143",0,,,0.5,0.5,0,China Bright,0.3815,0.9916365146636963,0.9916365146636963,0.9916365146636963
67,67,67,67,73,Billy Tse,满福轩,Full Luck Pavillion,Fusion,0,4.1,Names,,,Positivity,Ambiance,,0,"240 Commercial Street, Boston, MA 02109",0,http://www.billytseboston.com/,,0.0,0.0,1,Full Luck Pavilion,0.1284,0.9791514277458191,0.9793808460235596,0.9789219498634338
68,68,68,68,74,HaoShiGuang,好食光,Good Food Light,Fusion,0,4.1,Romanized,,,Positivity,,,0,"48 Harvard Ave, Allston, MA 02134",0,http://www.haoshiguangboston.com/,,0.0,0.0,1,Good Food Light,0.1182,0.9692877531051636,0.9703460335731506,0.9682317972183228
69,69,69,69,75,Dragon Star Chinese Restaurant,龙星,Dragon Star,Fusion,0,4.2,Culture,Origin,,Positivity,Culture,,1,"700 Washington St, Brookline, MA 02446",0,http://dragonstarchineserestaurant.com/,,0.5,0.3333333333333333,1,Dragon Star,0.6229,0.9845325350761414,0.985000729560852,0.9840648770332336
70,70,70,70,76,Hong Kong Harbor,海港楼,Harbor House,Cantonese,0,4.0,Location,Ambiance,,Ambiance,,,0,"5 Maverick Square, East Boston, MA 02128",0,https://www.hongkongharborboston.com/,,1.0,0.5,1,Harbor Building,0.6791,0.9841735363006592,0.9841735363006592,0.9841735363006592
71,71,71,71,77,QingDao Garden,青岛园,QingDao Garden,Fusion,0,4.2,Location,Ambiance,,Location,Ambiance,,1,"2382 Massachusetts Ave, Cambridge, MA 02140",0,http://www.qingdaogardentogo.com/,,1.0,1.0,0,Qingdao Garden,1.0,0.9757480621337891,0.9766005277633667,0.974897027015686
72,72,72,72,79,Hong Kong Cafe,香港美食,Hong Kong Cuisine,Cantonese,0,3.5,Location,Ambiance,,Location,,,0,"1391 Beacon St, Brookline, MA 02446",0,http://www.hongkongcafebrookline.com/,,1.0,0.5,1,Hong Kong Cuisine,0.7988,0.9794558882713318,0.9783312678337097,0.980583131313324
73,73,73,73,80,Ten Second Yunnan Rice Noodles,十秒到云南米线,Ten Seconds Delivery Yunnan Rice Noodle,Yunnan,0,4.1,Location,Specialty,,Location,Specialty,,1,"431 Cambridge St, Boston, MA 02134",0,,https://order.online/store/TenSecondNoodlesAllston-1189315/en-US/?hideModal=true&pickup=true,1.0,1.0,0,Ten Seconds to Yunnan Rice Noodles,0.9196,0.9747122526168823,0.9757014513015747,0.9737250208854675
74,74,74,74,81,Spicy Hunan Kitchen,湘私馆,Hunan Private Restaurant,Hunan,0,4.5,Location,Ambiance,Specialty,Location,Pun_Creative,Ambiance,0,"390 Main St, Woburn, MA 01801",0,https://www.spicyhunan.com/menu,,0.6666666666666666,0.5,1,Xiang Private Mansion,0.4424,0.9700567722320557,0.9711400866508484,0.9689760208129883
75,75,75,75,82,Friendship BBQ Boston,友情客串,Friendship Cameo,Barbecue,0,3.9,Specialty,Location,Positivity,Pun_Creative,Specialty,,0,"42 Beach St, Boston, MA 02111",0,http://friendshipbbqboston.com/,,0.5,0.25,2,Friendship Guest String,0.4255,0.9879976511001587,0.9861989617347717,0.9898028373718262
76,76,76,76,83,Chinese Dragon,东方红,Eastern Red,Fusion,0,3.5,Culture,Origin,,Positivity,Origin,,0,"380 Chelsea St, Boston, MA 02128",0,http://bostonchinesedragon.com/,,0.5,0.3333333333333333,1,Oriental Red,0.4799,0.9771202206611633,0.9740840196609497,0.9801753759384155
77,77,77,77,84,Joyful Garden,聚福海鲜酒楼,Gather Luck Seafood Restaurant,Cantonese,0,4.1,Positivity,Ambiance,,Positivity,Ambiance,Specialty,0,"550 Arsenal St, Watertown, MA 02472",0,https://joyful.boston/,,0.6666666666666666,0.6666666666666666,0,Gather Fortune Seafood Restaurant,0.1545,0.9740593433380127,0.9736378192901611,0.9744811654090881
78,78,78,78,85,Great Chef Chinese Food at Day Square,渪圖,Ru Picture,Fusion,0,4.0,Positivity,Origin,Location,Other,,,0,"390 Chelsea St, Boston, MA 02128",0,http://www.greatchefchinesefood.com/,,0.0,0.0,3,Tu Tu,0.1165,0.9674975872039795,0.9679672718048096,0.9670282602310181
79,79,79,79,86,Wu Er by WOW Barbecue,无二烤肉,No Two BBQ,Barbecue,0,3.9,Specialty,Romanized,,Specialty,,,0,"320 Washington St, Brookline, MA 02445",0,http://www.wowbarbecue.com/,,1.0,0.5,1,No Two Barbecue,0.4199,0.9805737733840942,0.9795250296592712,0.9816247820854187
80,80,80,80,90,Our Zone,第五空间 家常川菜,Fifth Space Homemade Sichuan Cuisine,Sichuan,0,4.7,Other,,,Location,Specialty,,0,"1583 Commonwealth Ave, Brighton, MA 02135",0,http://ourzone.online/,,0.0,0.0,1,Fifth Space Home Sichuan Cuisine,0.1517,0.9708579182624817,0.9747574925422668,0.9669894576072693
81,81,81,81,91,Zoe’s Chinese Restaurant,风味亭,Flavor Pavillion,Fusion,0,4.5,Names,Origin,,Positivity,Ambiance,,0,"296 Beacon St, Somerville, MA 02143",0,http://www.zoessomerville.com/,,0.0,0.0,2,Flavor Pavilion,0.3985,0.964134156703949,0.966792106628418,0.9614906907081604
82,82,82,82,93,Rose's Chinese Restaurant,花苑,Flower Garden,Fusion,0,4.0,Names,Origin,,Ambiance,,,0,"321 Boston Ave, Medford, MA 02155",0,http://www.rosesmedford.com/,,0.0,0.0,2,Flower Garden,0.2343,0.9676125645637512,0.9679902791976929,0.9672351479530334
