,Unnamed: 0,Unnamed: 0.1,index,English_Name,Chinese_Name,Literal_Translation,Dish Type,Creative Translation (1 = yes),Rating,Category_EN_1,Category_EN_2,Category_EN_3,Category_CH_1,Category_CH_2,Category_CH_3,Translation(Literal = 1),Address,Area,Website,Order Website,Metric 1 Retain Meanings,Metric 2 Similarities,Metric 3 Creativity
42,42,42,43,Gene's Chinese Flatbread Cafe,老西安,Old Xi'an,Xian,0,4.5,Names,Specialty,Ambiance,Location,,,0,"86 Bedford St, Boston, MA 02111",0,http://www.genescafeboston.com/,,0.0,0.0,3
43,43,43,44,Hong Kong Eatery,香港小食,Hong Kong Street Food,Cantonese,0,4.2,Location,,,Location,,,1,"79 Harrison Ave, Boston, MA 02111",0,https://www.toasttab.com/hong-kong-eatery-79-harrison-ave,,1.0,1.0,0
44,44,44,45,Wai Wai,威威,Wei Wei,Cantonese,0,3.9,Names,,,Names,,,0,"26 Oxford St, Boston, MA 02111",0,,,1.0,1.0,0
45,45,45,46,Silk Road Uyghur Cuisine,丝绸之路新疆美食,Silk Road Xinjiang Cuisine,Uyghur,0,4.4,Culture,Specialty,,Location,Culture,Specialty,1,"645 Cambridge St, Cambridge, MA 02141",0,http://www.silkroadcambridge.com/,,0.6666666666666666,0.6666666666666666,0
46,46,46,47,Peach Farm,小桃园,Little Peach Garden,Fusion,0,3.9,Ambiance,,,Ambiance,,,1,"4 Tyler St, Boston, MA 02111",0,https://peachfarmseafood.com/,,1.0,1.0,0
47,47,47,49,Great Wok Restaurants,江东楼,River East House,Fusion,0,3.7,Positivity,,,Ambiance,,,0,"1284 Massachusetts Ave #1608, Dorchester, MA 02125",0,http://www.greatwokdorchester.com/,,0.0,0.0,1
48,48,48,50,Su Su Gourmet,素素小食,Su Su Street Food,Cantonese,0,3.4,Names,,,Names,,,1,"70 Tyler St, Boston, MA 02111",0,https://www.susugourmetbostonma.com/,,1.0,1.0,0
49,49,49,52,Cilantro Chinese Cuisine,御堂春,Royal Hall Spring,Fusion,0,3.9,Origin,,,Positivity,Ambiance,Pun_Creative,0,"1105 Massachusetts Ave, Cambridge, MA 02138",0,http://www.cilantrochinesecuisine.com/?utm_source=gmb&utm_medium=website,,0.0,0.0,1
50,50,50,53,New Golden Gate Seafood,新金门海鲜酒家,New Golden Gate Seafood Restaurant,Fusion,0,4.2,Positivity,Specialty,,Positivity,Ambiance,,1,"66 Beach St, Boston, MA 02111",0,https://newgoldengateseafood.com/,,0.5,0.3333333333333333,1
51,51,51,54,Jumbo Seafood,珍宝轩,Treasure Pavillion,Cantonese,1,4.0,Specialty,,,Positivity,Ambiance,,0,"5 Hudson St, Boston, MA 02111",0,https://www.jumboseafoodboston.net/,,0.0,0.0,1
52,52,52,55,Beijing Cafe,京味,Beijing Taste,Beijing,0,3.4,Location,Ambiance,,Location,,,0,"728 Commonwealth Ave, Boston, MA 02215",0,https://www.beijingcafeusa.com/,,1.0,0.5,1
53,53,53,56,Winsor Dim Sum Café,温莎点心美食,Windsor Dim Sum Cuisine,Cantonese,0,3.9,Names,Specialty,Ambiance,Names,Specialty,,1,"10 Tyler St, Boston, MA 02111",0,http://runinos.com/places/windsor-dim-sum-cafe-boston-ma/,,1.0,0.6666666666666666,1
54,54,54,57,Great Taste Bakery & Restaurant,美味轩,Tasty Pavillion,Cantonese,0,4.0,Positivity,,,Positivity,Ambiance,,1,"63 Beach St, Boston, MA 02111",0,http://greattastebakery.com/,,0.5,0.5,0
55,55,55,58,Xiang Yu China Bistro,湘遇,Hunan Meet,Hunan,0,4.2,Romanized,Ambiance,Origin,Pun_Creative,Location,,0,"1223 Beacon St, Brookline, MA 02446",0,http://www.xychinabistro.com/,,0.0,0.0,3
56,56,56,59,Young Kong,邕江,Yong River,Cantonese,0,3.6,Romanized,,,Location,,,0,"300 Centre St, Jamaica Plain, MA 02130",0,https://www.youngkongma.com/,,0.0,0.0,1
57,57,57,61,Canton House,广东楼,Canton House,Cantonese,0,3.7,Location,Ambiance,,Location,Ambiance,,1,"6 Hancock St, Boston, MA 02125",0,http://www.cantonhousema.com/,,1.0,1.0,0
58,58,58,62,Hei La Moon Restaurant,喜临门大酒楼,Joy Near Door Great Restaurant,Cantonese,0,4.0,Romanized,,,Positivity,Ambiance,,0,"83 Essex St, Boston, MA 02111",0,https://www.heilamoonrestaurant.com/order/,,0.0,0.0,1
59,59,59,63,Gaga Seafood Restaurant,嘉嘉海鲜菜馆,Gaga Seafood Restaurant,Cantonese,0,4.2,Names,Specialty,,Names,Specialty,,1,"25 Tyler St #1905, Boston, MA 02111",0,http://www.gagaseafoodbostonma.com/menu.aspx,,1.0,1.0,0
60,60,60,66,New Ho Toy,好彩,Good Color,Cantonese,0,3.6,Romanized,,,Positivity,,,0,"746 Dudley St, Dorchester, MA 02125",0,https://www.newhotoydorchester.com/,,0.0,0.0,1
61,61,61,67,Food Wall Chinese Restaurant,福城,Luck City,Fusion,0,3.7,Origin,,,Positivity,,,0,"387 Centre St, Jamaica Plain, MA 02130",0,http://www.foodwallchinese.com/?utm_source=gmb&utm_medium=website,,0.0,0.0,1
62,62,62,68,New Moon Villa Restaurant,新月宫海鲜酒家,New Moon Palace Seafood Restaurant,Fusion,0,3.5,Ambiance,,,Specialty,Ambiance,,1,"15 Edinboro St, Boston, MA 02111",0,https://newmoonvillast.com/,,0.5,0.5,0
63,63,63,69,Lucky Cafe,陆记明炉烧腊,Lu's Open Oven Roasted Meat,Cantonese,0,4.2,Positivity,Ambiance,,Names,Specialty,,0,"1107 Dorchester Ave, Boston, MA 02125",0,,,0.0,0.0,2
64,64,64,70,Xi’An Rougamo,姑娘手西安小吃,Girl Hand Xi'an Street Food,Xian,0,3.5,Location,Specialty,,Location,,,0,"417 Washington St, Boston, MA 02110",0,https://www.toasttab.com/xian-rougamo-boston-417-washington-street,,1.0,0.5,1
65,65,65,71,Chung Wah,中华,China,Fusion,0,4.1,Romanized,,,Origin,,,0,"199 Bowdoin St, Dorchester, MA 02122",0,https://chungwahboston.com/,,0.0,0.0,1
66,66,66,72,Mandarin Restaurant,华明,China Bright,Fusion,0,3.8,Origin,,,Positivity,Origin,,0,"7 Union Square, Somerville, MA 02143",0,,,0.5,0.5,0
67,67,67,73,Billy Tse,满福轩,Full Luck Pavillion,Fusion,0,4.1,Names,,,Positivity,Ambiance,,0,"240 Commercial Street, Boston, MA 02109",0,http://www.billytseboston.com/,,0.0,0.0,1
68,68,68,74,HaoShiGuang,好食光,Good Food Light,Fusion,0,4.1,Romanized,,,Positivity,,,0,"48 Harvard Ave, Allston, MA 02134",0,http://www.haoshiguangboston.com/,,0.0,0.0,1
69,69,69,75,Dragon Star Chinese Restaurant,龙星,Dragon Star,Fusion,0,4.2,Culture,Origin,,Positivity,Culture,,1,"700 Washington St, Brookline, MA 02446",0,http://dragonstarchineserestaurant.com/,,0.5,0.3333333333333333,1
70,70,70,76,Hong Kong Harbor,海港楼,Harbor House,Cantonese,0,4.0,Location,Ambiance,,Ambiance,,,0,"5 Maverick Square, East Boston, MA 02128",0,https://www.hongkongharborboston.com/,,1.0,0.5,1
71,71,71,77,QingDao Garden,青岛园,QingDao Garden,Fusion,0,4.2,Location,Ambiance,,Location,Ambiance,,1,"2382 Massachusetts Ave, Cambridge, MA 02140",0,http://www.qingdaogardentogo.com/,,1.0,1.0,0
72,72,72,79,Hong Kong Cafe,香港美食,Hong Kong Cuisine,Cantonese,0,3.5,Location,Ambiance,,Location,,,0,"1391 Beacon St, Brookline, MA 02446",0,http://www.hongkongcafebrookline.com/,,1.0,0.5,1
73,73,73,80,Ten Second Yunnan Rice Noodles,十秒到云南米线,Ten Seconds Delivery Yunnan Rice Noodle,Yunnan,0,4.1,Location,Specialty,,Location,Specialty,,1,"431 Cambridge St, Boston, MA 02134",0,,https://order.online/store/TenSecondNoodlesAllston-1189315/en-US/?hideModal=true&pickup=true,1.0,1.0,0
74,74,74,81,Spicy Hunan Kitchen,湘私馆,Hunan Private Restaurant,Hunan,0,4.5,Location,Ambiance,Specialty,Location,Pun_Creative,Ambiance,0,"390 Main St, Woburn, MA 01801",0,https://www.spicyhunan.com/menu,,0.6666666666666666,0.5,1
75,75,75,82,Friendship BBQ Boston,友情客串,Friendship Cameo,Barbecue,0,3.9,Specialty,Location,Positivity,Pun_Creative,Specialty,,0,"42 Beach St, Boston, MA 02111",0,http://friendshipbbqboston.com/,,0.5,0.25,2
76,76,76,83,Chinese Dragon,东方红,Eastern Red,Fusion,0,3.5,Culture,Origin,,Positivity,Origin,,0,"380 Chelsea St, Boston, MA 02128",0,http://bostonchinesedragon.com/,,0.5,0.3333333333333333,1
77,77,77,84,Joyful Garden,聚福海鲜酒楼,Gather Luck Seafood Restaurant,Cantonese,0,4.1,Positivity,Ambiance,,Positivity,Ambiance,Specialty,0,"550 Arsenal St, Watertown, MA 02472",0,https://joyful.boston/,,0.6666666666666666,0.6666666666666666,0
78,78,78,85,Great Chef Chinese Food at Day Square,渪圖,Ru Picture,Fusion,0,4.0,Positivity,Origin,Location,Other,,,0,"390 Chelsea St, Boston, MA 02128",0,http://www.greatchefchinesefood.com/,,0.0,0.0,3
79,79,79,86,Wu Er by WOW Barbecue,无二烤肉,No Two BBQ,Barbecue,0,3.9,Specialty,Romanized,,Specialty,,,0,"320 Washington St, Brookline, MA 02445",0,http://www.wowbarbecue.com/,,1.0,0.5,1
80,80,80,90,Our Zone,第五空间 家常川菜,Fifth Space Homemade Sichuan Cuisine,Sichuan,0,4.7,Other,,,Location,Specialty,,0,"1583 Commonwealth Ave, Brighton, MA 02135",0,http://ourzone.online/,,0.0,0.0,1
81,81,81,91,Zoe’s Chinese Restaurant,风味亭,Flavor Pavillion,Fusion,0,4.5,Names,Origin,,Positivity,Ambiance,,0,"296 Beacon St, Somerville, MA 02143",0,http://www.zoessomerville.com/,,0.0,0.0,2
82,82,82,93,Rose's Chinese Restaurant,花苑,Flower Garden,Fusion,0,4.0,Names,Origin,,Ambiance,,,0,"321 Boston Ave, Medford, MA 02155",0,http://www.rosesmedford.com/,,0.0,0.0,2
83,83,83,95,MDM Noodles,面对面,Face to Noodles,Fusion,0,4.4,Specialty,,,Pun_Creative,Specialty,,0,"351 Washington St, Brighton, MA 02135",0,http://www.mdmnoodles.com/?utm_source=gmb&utm_medium=website,,0.5,0.5,0
84,84,84,96,Dumpling Kitchen,心厨,Heart Kitchen,Fusion,0,3.3,Specialty,Ambiance,,Positivity,Ambiance,,0,"217 Highland Ave, Somerville, MA 02143",0,https://www.dumplingkitchen.net/,,0.5,0.3333333333333333,1
85,85,85,97,China Garden Restaurant,顿嘉,Dun Jia,Fusion,0,3.7,Origin,Ambiance,,Names,,,0,"256 Highland Ave, Malden, MA 02148",0,,,0.0,0.0,2
86,86,86,98,Chow N Joy,厨乐,Kitchen Joy,Fusion,1,3.8,Positivity,,,Positivity,,,0,"626 Somerville Ave, Somerville, MA 02143",0,https://www.chownjoysomervillema.com/#/,,1.0,1.0,0
87,87,87,99,Changsho,常熟,Always Familiar,Fusion,0,4.1,Romanized,,,Positivity,,,0,"1712 Massachusetts Ave, Cambridge, MA 02138",0,http://changshorestaurant.com/,,0.0,0.0,1
88,88,88,100,China House,中国楼,China House,Fusion,0,4.0,Origin,Ambiance,,Origin,Ambiance,,1,"234 Upper Main St, Edgartown, MA 02539",1,http://www.mvchinahouse.com/,,1.0,1.0,0
89,89,89,101,Golden Place,锦煌,Splendor Bright,Fusion,0,4.1,Positivity,Ambiance,,Positivity,,,0,"4 Barlows Landing Rd #2, Pocasset, MA 02559",1,http://goldenplacecapecod.com/index.html,,1.0,0.5,1
90,90,90,103,Asian Paradise,亚洲城,Asia City,Fusion,0,4.5,Origin,Ambiance,,Origin,Ambiance,,0,"1587 Main St, West Chatham, MA 02669",1,http://www.asianparadiseonline.com/,,1.0,1.0,0
91,91,91,105,Double Dragon Inn,双龙,Double Dragon,Fusion,0,4.2,Culture,Ambiance,,Culture,,,1,"59 MA-6A, Orleans, MA 02653",1,http://www.doubledragonorleans.com/,,1.0,0.5,1
92,92,92,107,Kung Fu Dumplings,功夫饺子,Kung Fu Dumplings,Dumplings,0,4.3,Culture,Specialty,,Specialty,Culture,,1,"293 Commercial St, Provincetown, MA 02657",1,http://kung-fu-dumplings.square.site/,,1.0,1.0,0
93,93,93,112,Panda Garden,熊家园,Bear Garden,Fusion,0,3.6,Culture,Ambiance,,Ambiance,,,0,"95 Main St, Lee, MA 01238",1,,,1.0,0.5,1
94,94,94,113,Red Apple,红苹果,Red Apple,Fusion,0,4.1,Other,,,Positivity,,,1,"23 Park Plaza A, Lee, MA 01238",1,http://places.singleplatform.com/red-apple-81/menu?ref=google,,0.0,0.0,1
95,95,95,115,The East Asian Cuisine,龙,Dragon,Fusion,0,4.2,Origin,,,Culture,,,0,"305 Stockbridge Rd, Great Barrington, MA 01230",1,http://www.theeastasiancuisine.com/,,0.0,0.0,1
96,96,96,120,Park's Asian Bistro & Sushi Bar,御膳房,Royal Kitchen,Fusion,0,4.5,Origin,Ambiance,Names,Positivity,Ambiance,,0,"3 Park St, Rehoboth, MA 02769",1,http://www.parksasianbistro.com/,,0.5,0.25,2
97,97,97,123,Panda Garden Chinese Restaurant,百里香,Hundred Miles Delicious,Fusion,0,4.3,Culture,Origin,Ambiance,Positivity,,,0,"49 Main St, Williamsburg, MA 01096",1,https://www.pandawilliamsburg.com/,,0.0,0.0,3
98,98,98,124,West Lake Gourmet Chinese Restaurant,西湖,West Lake,Fusion,0,4.4,Location,Culture,Origin,Location,Culture,,1,"15 College Hwy, Southampton, MA 01073",1,https://westlakegourmet.com/,,1.0,0.6666666666666666,1
99,99,99,129,New Fortune,鸿运,Good Fortune,Fusion,0,4.4,Positivity,,,Positivity,,,0,"249 Mohawk Trail, Greenfield, MA 01301",1,http://newfortunegreenfield.com/,,1.0,1.0,0
