,level_0,Unnamed: 0,index,English_Name,Chinese_Name,Literal_Translation,Dish Type,Creative Translation (1 = yes),Rating,Category_EN_1,Category_EN_2,Category_EN_3,Category_CH_1,Category_CH_2,Category_CH_3,Translation(Literal = 1),Address,Area,Website,Order Website,Metric 1 Retain Meanings,Metric 2 Similarities,Metric 3 Creativity,chatGPT_translation,embedding_similarity
34,34,34,35,Wing's Kitchen,小南阁,LIttle South Attic,Fusion,0,4.3,Names,Ambiance,,Ambiance,,,0,"13 Hudson St, Boston, MA 02111",Urban,https://www.wingskitchenboston.com/,,1.0,0.5,1,Little South Pavilion,0.4047
35,35,35,36,Jade Garden,翠苑海鲜酒楼,Emerald Garden Seafood Restaurant,Fusion,0,3.9,Positivity,Ambiance,,Specialty,Positivity,,0,"20 Tyler St, Boston, MA 02111",Urban,,,0.5,0.3333333333333333,1,Cuiyuan Seafood Restaurant,0.3141
36,36,36,37,The Q,小绵羊火锅,Little Lamb Hotpot,hotpot,0,4.5,Names,,,Specialty,,,0,"660 Washington St, Boston, MA 02111",Urban,https://thequsa.com/boston-q-restaurant-food-menu?y_source=1_OTM1MjkzMjgtNzE1LWxvY2F0aW9uLm1lbnVfdXJs,,0.0,0.0,1,Little Sheep Hot Pot,0.1859
37,37,37,38,Clay Pot Cafe,旺角,Mong Kok,Cantonese,0,4.3,Specialty,Ambiance,,Location,,,0,"74 Kneeland St, Boston, MA 02111",Urban,https://www.claypotcafemassachusetts.com/,,0.0,0.0,2,Mong Kok,0.1102
38,38,38,39,Double Chin Modern Asian Restaurant,为食家,For Food Home,Fusion,0,4.1,Origin,,,Ambiance,,,0,"86 Harrison Ave, Boston, MA 02111",Urban,http://www.doublechinbos.com/,,0.0,0.0,1,Foodie,0.2472
39,39,39,40,Royal East,五月花,May flower,Fusion,0,3.9,Positivity,Origin,,Other,,,0,"782 Main St, Cambridge, MA 02139",Urban,https://royaleastcambridge.com/,,0.0,0.0,2,May Flower,0.1419
40,40,40,41,Ding Ho,顶好快餐,Top Good Fast Food,Fusion,0,4.7,Romanized,,,Specialty,Positivity,,0,"88 Harrison Ave, Boston, MA 02111",Urban,,,0.0,0.0,1,Top Good Fast Food,0.1243
41,41,41,42,Liaoxiang Rice Noodle,撩香米线,Tempting Fragrant Rice Noodle,Yunnan,0,4.9,Specialty,Romanized,,Specialty,Positivity,,0,"7 Knapp St, Boston, MA 02111",Urban,,,0.5,0.3333333333333333,1,Liao Xiang Rice Noodles,0.7529
42,42,42,43,Gene's Chinese Flatbread Cafe,老西安,Old Xi'an,Xian,0,4.5,Names,Specialty,Ambiance,Location,,,0,"86 Bedford St, Boston, MA 02111",Urban,http://www.genescafeboston.com/,,0.0,0.0,3,Old Xi'an,0.1454
43,43,43,44,Hong Kong Eatery,香港小食,Hong Kong Street Food,Cantonese,0,4.2,Location,,,Location,,,1,"79 Harrison Ave, Boston, MA 02111",Urban,https://www.toasttab.com/hong-kong-eatery-79-harrison-ave,,1.0,1.0,0,Hong Kong Snacks,0.8161
44,44,44,45,Wai Wai,威威,Wei Wei,Cantonese,0,3.9,Names,,,Names,,,0,"26 Oxford St, Boston, MA 02111",Urban,,,1.0,1.0,0,Wei Wei,0.3667
45,45,45,46,Silk Road Uyghur Cuisine,丝绸之路新疆美食,Silk Road Xinjiang Cuisine,Uyghur,0,4.4,Culture,Specialty,,Location,Culture,Specialty,1,"645 Cambridge St, Cambridge, MA 02141",Urban,http://www.silkroadcambridge.com/,,0.6666666666666666,0.6666666666666666,0,Silk Road Xinjiang Cuisine,0.7988
46,46,46,47,Peach Farm,小桃园,Little Peach Garden,Fusion,0,3.9,Ambiance,,,Ambiance,,,1,"4 Tyler St, Boston, MA 02111",Urban,https://peachfarmseafood.com/,,1.0,1.0,0,Little Peach Garden,0.7672
47,47,47,49,Great Wok Restaurants,江东楼,River East House,Fusion,0,3.7,Positivity,,,Ambiance,,,0,"1284 Massachusetts Ave #1608, Dorchester, MA 02125",Urban,http://www.greatwokdorchester.com/,,0.0,0.0,1,Jiangdong Building,0.2507
48,48,48,50,Su Su Gourmet,素素小食,Su Su Street Food,Cantonese,0,3.4,Names,,,Names,,,1,"70 Tyler St, Boston, MA 02111",Urban,https://www.susugourmetbostonma.com/,,1.0,1.0,0,Vegetarian Snacks,0.6519
49,49,49,52,Cilantro Chinese Cuisine,御堂春,Royal Hall Spring,Fusion,0,3.9,Origin,,,Positivity,Ambiance,Pun_Creative,0,"1105 Massachusetts Ave, Cambridge, MA 02138",Urban,http://www.cilantrochinesecuisine.com/?utm_source=gmb&utm_medium=website,,0.0,0.0,1,Royal Spring,0.0857
50,50,50,53,New Golden Gate Seafood,新金门海鲜酒家,New Golden Gate Seafood Restaurant,Fusion,0,4.2,Positivity,Specialty,,Positivity,Ambiance,,1,"66 Beach St, Boston, MA 02111",Urban,https://newgoldengateseafood.com/,,0.5,0.3333333333333333,1,New Golden Gate Seafood Restaurant,0.9208
51,51,51,54,Jumbo Seafood,珍宝轩,Treasure Pavillion,Cantonese,1,4.0,Specialty,,,Positivity,Ambiance,,0,"5 Hudson St, Boston, MA 02111",Urban,https://www.jumboseafoodboston.net/,,0.0,0.0,1,Treasure Pavilion,0.2089
52,52,52,55,Beijing Cafe,京味,Beijing Taste,Beijing,0,3.4,Location,Ambiance,,Location,,,0,"728 Commonwealth Ave, Boston, MA 02215",Urban,https://www.beijingcafeusa.com/,,1.0,0.5,1,Beijing Flavor,0.7396
53,53,53,56,Winsor Dim Sum Café,温莎点心美食,Windsor Dim Sum Cuisine,Cantonese,0,3.9,Names,Specialty,Ambiance,Names,Specialty,,1,"10 Tyler St, Boston, MA 02111",Urban,http://runinos.com/places/windsor-dim-sum-cafe-boston-ma/,,1.0,0.6666666666666666,1,Windsor Dim Sum Delicacies,0.6134
54,54,54,57,Great Taste Bakery & Restaurant,美味轩,Tasty Pavillion,Cantonese,0,4.0,Positivity,,,Positivity,Ambiance,,1,"63 Beach St, Boston, MA 02111",Urban,http://greattastebakery.com/,,0.5,0.5,0,Delicious Pavilion,0.3515
55,55,55,58,Xiang Yu China Bistro,湘遇,Hunan Meet,Hunan,0,4.2,Romanized,Ambiance,Origin,Pun_Creative,Location,,0,"1223 Beacon St, Brookline, MA 02446",Urban,http://www.xychinabistro.com/,,0.0,0.0,3,Xiang Yu,0.5991
56,56,56,59,Young Kong,邕江,Yong River,Cantonese,0,3.6,Romanized,,,Location,,,0,"300 Centre St, Jamaica Plain, MA 02130",Urban,https://www.youngkongma.com/,,0.0,0.0,1,Yongjiang,0.2678
57,57,57,61,Canton House,广东楼,Canton House,Cantonese,0,3.7,Location,Ambiance,,Location,Ambiance,,1,"6 Hancock St, Boston, MA 02125",Urban,http://www.cantonhousema.com/,,1.0,1.0,0,Guangdong Building,1.0000
58,58,58,62,Hei La Moon Restaurant,喜临门大酒楼,Joy Near Door Great Restaurant,Cantonese,0,4.0,Romanized,,,Positivity,Ambiance,,0,"83 Essex St, Boston, MA 02111",Urban,https://www.heilamoonrestaurant.com/order/,,0.0,0.0,1,Happy Door Grand Restaurant,0.4573
59,59,59,63,Gaga Seafood Restaurant,嘉嘉海鲜菜馆,Gaga Seafood Restaurant,Cantonese,0,4.2,Names,Specialty,,Names,Specialty,,1,"25 Tyler St #1905, Boston, MA 02111",Urban,http://www.gagaseafoodbostonma.com/menu.aspx,,1.0,1.0,0,Jiajia Seafood Restaurant,1.0000
60,60,60,66,New Ho Toy,好彩,Good Color,Cantonese,0,3.6,Romanized,,,Positivity,,,0,"746 Dudley St, Dorchester, MA 02125",Urban,https://www.newhotoydorchester.com/,,0.0,0.0,1,Good Luck,0.1679
61,61,61,67,Food Wall Chinese Restaurant,福城,Luck City,Fusion,0,3.7,Origin,,,Positivity,,,0,"387 Centre St, Jamaica Plain, MA 02130",Urban,http://www.foodwallchinese.com/?utm_source=gmb&utm_medium=website,,0.0,0.0,1,Fucheng,0.1462
62,62,62,68,New Moon Villa Restaurant,新月宫海鲜酒家,New Moon Palace Seafood Restaurant,Fusion,0,3.5,Ambiance,,,Specialty,Ambiance,,1,"15 Edinboro St, Boston, MA 02111",Urban,https://newmoonvillast.com/,,0.5,0.5,0,New Moon Palace Seafood Restaurant,0.7911
63,63,63,69,Lucky Cafe,陆记明炉烧腊,Lu's Open Oven Roasted Meat,Cantonese,0,4.2,Positivity,Ambiance,,Names,Specialty,,0,"1107 Dorchester Ave, Boston, MA 02125",Urban,,,0.0,0.0,2,Luji Minglu Roast Meat,0.1732
64,64,64,70,Xi’An Rougamo,姑娘手西安小吃,Girl Hand Xi'an Street Food,Xian,0,3.5,Location,Specialty,,Location,,,0,"417 Washington St, Boston, MA 02110",Urban,https://www.toasttab.com/xian-rougamo-boston-417-washington-street,,1.0,0.5,1,Girl's Hand Xi'an Snacks,0.3389
65,65,65,71,Chung Wah,中华,China,Fusion,0,4.1,Romanized,,,Origin,,,0,"199 Bowdoin St, Dorchester, MA 02122",Urban,https://chungwahboston.com/,,0.0,0.0,1,China,0.2767
66,66,66,72,Mandarin Restaurant,华明,China Bright,Fusion,0,3.8,Origin,,,Positivity,Origin,,0,"7 Union Square, Somerville, MA 02143",Urban,,,0.5,0.5,0,Huaming,0.3815
67,67,67,73,Billy Tse,满福轩,Full Luck Pavillion,Fusion,0,4.1,Names,,,Positivity,Ambiance,,0,"240 Commercial Street, Boston, MA 02109",Urban,http://www.billytseboston.com/,,0.0,0.0,1,Manfu Pavilion,0.1050
68,68,68,74,HaoShiGuang,好食光,Good Food Light,Fusion,0,4.1,Romanized,,,Positivity,,,0,"48 Harvard Ave, Allston, MA 02134",Urban,http://www.haoshiguangboston.com/,,0.0,0.0,1,Good Food Light,0.1182
69,69,69,75,Dragon Star Chinese Restaurant,龙星,Dragon Star,Fusion,0,4.2,Culture,Origin,,Positivity,Culture,,1,"700 Washington St, Brookline, MA 02446",Urban,http://dragonstarchineserestaurant.com/,,0.5,0.3333333333333333,1,Dragon Star,0.6229
70,70,70,76,Hong Kong Harbor,海港楼,Harbor House,Cantonese,0,4.0,Location,Ambiance,,Ambiance,,,0,"5 Maverick Square, East Boston, MA 02128",Urban,https://www.hongkongharborboston.com/,,1.0,0.5,1,Seaport Building,0.6289
71,71,71,77,QingDao Garden,青岛园,QingDao Garden,Fusion,0,4.2,Location,Ambiance,,Location,Ambiance,,1,"2382 Massachusetts Ave, Cambridge, MA 02140",Urban,http://www.qingdaogardentogo.com/,,1.0,1.0,0,Qingdao Garden,1.0000
72,72,72,79,Hong Kong Cafe,香港美食,Hong Kong Cuisine,Cantonese,0,3.5,Location,Ambiance,,Location,,,0,"1391 Beacon St, Brookline, MA 02446",Urban,http://www.hongkongcafebrookline.com/,,1.0,0.5,1,Hong Kong Cuisine,0.7988
73,73,73,80,Ten Second Yunnan Rice Noodles,十秒到云南米线,Ten Seconds Delivery Yunnan Rice Noodle,Yunnan,0,4.1,Location,Specialty,,Location,Specialty,,1,"431 Cambridge St, Boston, MA 02134",Urban,,https://order.online/store/TenSecondNoodlesAllston-1189315/en-US/?hideModal=true&pickup=true,1.0,1.0,0,Ten Seconds to Yunnan Rice Noodles,0.8167
74,74,74,81,Spicy Hunan Kitchen,湘私馆,Hunan Private Restaurant,Hunan,0,4.5,Location,Ambiance,Specialty,Location,Pun_Creative,Ambiance,0,"390 Main St, Woburn, MA 01801",Urban,https://www.spicyhunan.com/menu,,0.6666666666666666,0.5,1,Private Hunan Restaurant,0.7819
75,75,75,82,Friendship BBQ Boston,友情客串,Friendship Cameo,Barbecue,0,3.9,Specialty,Location,Positivity,Pun_Creative,Specialty,,0,"42 Beach St, Boston, MA 02111",Urban,http://friendshipbbqboston.com/,,0.5,0.25,2,Guest Appearance,0.3658
76,76,76,83,Chinese Dragon,东方红,Eastern Red,Fusion,0,3.5,Culture,Origin,,Positivity,Origin,,0,"380 Chelsea St, Boston, MA 02128",Urban,http://bostonchinesedragon.com/,,0.5,0.3333333333333333,1,Oriental Red,0.2633
77,77,77,84,Joyful Garden,聚福海鲜酒楼,Gather Luck Seafood Restaurant,Cantonese,0,4.1,Positivity,Ambiance,,Positivity,Ambiance,Specialty,0,"550 Arsenal St, Watertown, MA 02472",Urban,https://joyful.boston/,,0.6666666666666666,0.6666666666666666,0,Jufu Seafood Restaurant,0.1372
78,78,78,85,Great Chef Chinese Food at Day Square,渪圖,Ru Picture,Fusion,0,4.0,Positivity,Origin,Location,Other,,,0,"390 Chelsea St, Boston, MA 02128",Urban,http://www.greatchefchinesefood.com/,,0.0,0.0,3,Rutu,0.0863
79,79,79,86,Wu Er by WOW Barbecue,无二烤肉,No Two BBQ,Barbecue,0,3.9,Specialty,Romanized,,Specialty,,,0,"320 Washington St, Brookline, MA 02445",Urban,http://www.wowbarbecue.com/,,1.0,0.5,1,Unique Roast Meat,0.3690
80,80,80,90,Our Zone,第五空间 家常川菜,Fifth Space Homemade Sichuan Cuisine,Sichuan,0,4.7,Other,,,Location,Specialty,,0,"1583 Commonwealth Ave, Brighton, MA 02135",Urban,http://ourzone.online/,,0.0,0.0,1,Fifth Space Homestyle Sichuan Cuisine,0.1324
81,81,81,91,Zoe’s Chinese Restaurant,风味亭,Flavor Pavillion,Fusion,0,4.5,Names,Origin,,Positivity,Ambiance,,0,"296 Beacon St, Somerville, MA 02143",Urban,http://www.zoessomerville.com/,,0.0,0.0,2,Flavor Pavilion,0.3569
82,82,82,93,Rose's Chinese Restaurant,花苑,Flower Garden,Fusion,0,4.0,Names,Origin,,Ambiance,,,0,"321 Boston Ave, Medford, MA 02155",Urban,http://www.rosesmedford.com/,,0.0,0.0,2,Flower Garden,0.2343
83,83,83,95,MDM Noodles,面对面,Face to Noodles,Fusion,0,4.4,Specialty,,,Pun_Creative,Specialty,,0,"351 Washington St, Brighton, MA 02135",Urban,http://www.mdmnoodles.com/?utm_source=gmb&utm_medium=website,,0.5,0.5,0,Face to Face,0.5548
84,84,84,96,Dumpling Kitchen,心厨,Heart Kitchen,Fusion,0,3.3,Specialty,Ambiance,,Positivity,Ambiance,,0,"217 Highland Ave, Somerville, MA 02143",Urban,https://www.dumplingkitchen.net/,,0.5,0.3333333333333333,1,Heart Kitchen,0.5053
85,85,85,97,China Garden Restaurant,顿嘉,Dun Jia,Fusion,0,3.7,Origin,Ambiance,,Names,,,0,"256 Highland Ave, Malden, MA 02148",Urban,,,0.0,0.0,2,Dun Jia,0.3182
86,86,86,98,Chow N Joy,厨乐,Kitchen Joy,Fusion,1,3.8,Positivity,,,Positivity,,,0,"626 Somerville Ave, Somerville, MA 02143",Urban,https://www.chownjoysomervillema.com/#/,,1.0,1.0,0,Kitchen Joy,0.5253
87,87,87,99,Changsho,常熟,Always Familiar,Fusion,0,4.1,Romanized,,,Positivity,,,0,"1712 Massachusetts Ave, Cambridge, MA 02138",Urban,http://changshorestaurant.com/,,0.0,0.0,1,Changshu,0.1529
